	Condition	CorrectSource	Stim_RT
0	Enc	6	1.366
1	Enc	5	0.807
2	Enc	6	0.992
3	Enc	9	1.128
4	Enc	8	1.525
5	Enc	9	1.007
6	Enc	8	1.984
7	CTL	8	0.869
8	CTL	5	0.796
9	Enc	6	1.163
10	CTL	6	0.972
11	Enc	5	1.277
12	Enc	6	1.111
13	CTL	8	0.854
14	Enc	6	1.048
15	Enc	8	1.102
16	Enc	5	1.046
17	Enc	9	1.245
18	Enc	9	1.148
19	Enc	5	1.528
20	Enc	5	1.247
21	Enc	5	1.049
22	CTL	8	0.835
23	CTL	5	0.607
24	Enc	8	1.327
25	Enc	6	0.927
26	Enc	5	1.062
27	CTL	5	0.734
28	Enc	6	0.775
29	Enc	5	1.183
30	CTL	6	0.849
31	Enc	8	1.021
32	Enc	5	1.105
33	Enc	9	0.928
34	Enc	8	1.009
35	Enc	9	1.099
36	Enc	8	1.17
37	Enc	6	1.812
38	CTL	9	1.16
39	CTL	8	1.066
40	Enc	9	1.182
41	Enc	6	1.016
42	Enc	9	0.994
43	Enc	6	0.838
44	CTL	5	0.744
45	Enc	5	0.876
46	Enc	9	1.01
47	CTL	9	0.812
48	Enc	8	0.77
49	CTL	6	0.803
50	CTL	6	0.701
51	CTL	6	0.513
52	CTL	9	0.589
53	Enc	6	0.589
54	Enc	6	0.581
55	Enc	5	0.939
56	Enc	6	0.762
57	Enc	9	0.973
58	Enc	8	0.967
59	Enc	9	1.243
60	Enc	8	2.117
61	Enc	9	1.057
62	Enc	6	0.819
63	Enc	6	0.806
64	Enc	8	0.992
65	Enc	9	1.03
66	Enc	6	0.787
67	CTL	8	0.794
68	Enc	5	1.116
69	CTL	9	0.699
70	CTL	8	0.567
71	CTL	5	0.655
72	Enc	9	1.173
73	Enc	8	1.703
74	Enc	8	1.307
75	Enc	6	1.034
76	CTL	5	0.735
77	Enc	9	0.849
78	CTL	8	0.679
79	Enc	9	0.628
80	CTL	9	0.644
81	CTL	8	0.645
82	CTL	9	0.812
83	CTL	5	0.61
84	Enc	5	1.697
85	CTL	6	0.858
86	CTL	6	0.599
87	Enc	8	1.589
88	CTL	9	0.703
89	Enc	8	0.845
90	Enc	5	0.997
91	Enc	8	0.751
92	CTL	8	2.466
93	Enc	9	1.038
94	Enc	8	0.743
95	Enc	8	0.955
96	CTL	8	0.709
97	CTL	5	0.841
98	Enc	5	0.85
99	CTL	9	0.75
100	CTL	9	0.752
101	CTL	6	0.613
102	Enc	9	1.015
103	CTL	6	0.969
104	CTL	5	0.649
105	CTL	6	0.568
106	Enc	5	0.734
107	Enc	9	1.287
108	Enc	8	0.998
109	Enc	6	0.924
110	Enc	9	1.013
111	CTL	9	0.759
112	Enc	5	0.888
113	Enc	6	0.901
114	Enc	5	1.008
115	Enc	5	1.052
116	Enc	8	1.134
