	Condition	CorrectSource	Stim_RT
0	Enc	6	0.413
1	Enc	5	0.638
2	Enc	6	0.692
3	Enc	9	0.733
4	Enc	8	0.645
5	Enc	9	0.604
6	Enc	8	0.915
7	CTL	8	0.415
8	CTL	5	0.615
9	Enc	6	0.395
10	CTL	6	0.416
11	Enc	5	0.667
12	Enc	6	0.539
13	CTL	8	0.688
14	Enc	6	0.428
15	Enc	8	0.438
16	Enc	5	0.495
17	Enc	9	0.734
18	Enc	9	0.494
19	Enc	5	0.621
20	Enc	5	0.655
21	Enc	5	0.638
22	CTL	8	0.57
23	CTL	5	0.588
24	Enc	8	0.569
25	Enc	6	0.42
26	Enc	5	0.854
27	CTL	5	0.685
28	Enc	6	0.53
29	Enc	5	0.692
30	CTL	6	0.423
31	Enc	8	0.768
32	Enc	5	0.898
33	Enc	9	0.779
34	Enc	8	0.666
35	Enc	9	0.652
36	Enc	8	0.622
37	Enc	6	1.264
38	CTL	9	0.693
39	CTL	8	0.518
40	Enc	9	0.738
41	Enc	6	0.46
42	Enc	9	0.686
43	Enc	6	0.948
44	CTL	5	0.599
45	Enc	5	0.721
46	Enc	9	0.681
47	CTL	9	0.428
48	Enc	8	0.487
49	CTL	6	0.585
50	CTL	6	0.752
51	CTL	6	0.358
52	CTL	9	0.69
53	Enc	6	0.464
54	Enc	6	0.677
55	Enc	5	0.699
56	Enc	6	0.644
57	Enc	9	0.673
58	Enc	8	0.722
59	Enc	9	0.805
60	Enc	8	0.704
61	Enc	9	0.431
62	Enc	6	0.787
63	Enc	6	0.432
64	Enc	8	0.433
65	Enc	9	0.582
66	Enc	6	0.714
67	CTL	8	0.434
68	Enc	5	0.433
69	CTL	9	0.597
70	CTL	8	0.49
71	CTL	5	0.435
72	Enc	9	0.691
73	Enc	8	0.436
74	Enc	8	0.661
75	Enc	6	0.436
76	CTL	5	0.562
77	Enc	9	0.887
78	CTL	8	0.549
79	Enc	9	0.478
80	CTL	9	0.684
81	CTL	8	0.478
82	CTL	9	0.6
83	CTL	5	0.524
84	Enc	5	0.439
85	CTL	6	0.631
86	CTL	6	0.592
87	Enc	8	0.94
88	CTL	9	0.554
89	Enc	8	0.411
90	Enc	5	0.67
91	Enc	8	0.803
92	CTL	8	0.789
93	Enc	9	0.711
94	Enc	8	0.614
95	Enc	8	0.585
96	CTL	8	0.444
97	CTL	5	0.48
98	Enc	5	0.443
99	CTL	9	0.499
100	CTL	9	0.669
101	CTL	6	0.605
102	Enc	9	0.615
103	CTL	6	0.653
104	CTL	5	0.425
105	CTL	6	0.514
106	Enc	5	0.605
107	Enc	9	0.521
108	Enc	8	0.604
109	Enc	6	0.463
110	Enc	9	0.928
111	CTL	9	0.448
112	Enc	5	0.716
113	Enc	6	0.5
114	Enc	5	0.52
115	Enc	5	0.789
116	Enc	8	1.276
