trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	8.0	0.419	59.581	3.0	62.58	1.5	CTL01	10.998999999999995	5.5	5.498999999999995	70.58	0.0	5.5	5.498999999999995	62.58
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	5.0	0.92	64.08	3.0	67.08	1.5	CTL02	8.998999999999995	4.498999999999995	4.5	73.079	0.0	4.498999999999995	4.5	67.08
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	6.0	0.42	72.079	3.0	75.079	0.5	CTL03	6.998999999999995	3.4989999999999952	3.5	79.07799999999999	0.0	3.4989999999999952	3.5	75.079
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	8.0	2.421	85.07799999999997	3.0	88.07799999999997	2.0	CTL04	8.997999999999962	4.498999999999981	4.498999999999981	94.07599999999994	0.0	4.498999999999981	4.498999999999981	88.07799999999997
22	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	8.0	0.924	144.07399999999998	3.0	147.07399999999998	1.0	CTL05	10.0	5.0	5.0	154.07399999999998	0.0	5.0	5.0	147.07399999999998
23	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	5.0	1.924	148.07299999999998	3.0	151.07299999999998	1.5	CTL06	7.9979999999999905	3.9989999999999952	3.9989999999999952	156.07099999999997	0.0	3.9989999999999952	3.9989999999999952	151.07299999999998
27	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	5.0	1.426	176.071	3.0	179.071	3.5	CTL07	18.99799999999999	9.498999999999995	9.498999999999995	195.069	0.0	9.498999999999995	9.498999999999995	179.071
30	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	6.0	0.426	209.569	3.0	212.568	1.0	CTL08	31.99700000000001	15.998999999999995	15.99800000000002	241.566	0.0	15.998999999999995	15.99800000000002	212.568
38	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	9.0	2.4290000000000003	255.065	3.0	258.065	0.5	CTL09	8.0	4.0	4.0	263.065	0.0	4.0	4.0	258.065
39	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	8.0	1.4280000000000002	258.565	3.0	261.564	1.0	CTL10	6.999000000000024	3.5	3.499000000000024	265.564	0.0	3.5	3.499000000000024	261.564
44	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	5.0	1.931	288.062	3.0	291.062	2.5	CTL11	9.999000000000024	4.999000000000024	5.0	298.06100000000004	0.0	4.999000000000024	5.0	291.062
47	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	9.0	0.432	304.561	3.0	307.561	3.0	CTL12	7.0	3.5	3.5	311.561	0.0	3.5	3.5	307.561
49	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	49.0	6.0	1.932	315.56	3.0	318.56	0.5	CTL13	9.999000000000024	4.999000000000024	5.0	325.559	0.0	4.999000000000024	5.0	318.56
50	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	50.0	6.0	0.932	319.06	3.0	322.06	1.0	CTL14	7.0	3.5	3.5	326.06	0.0	3.5	3.5	322.06
51	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	6.0	1.932	323.06	3.0	326.059	2.5	CTL15	7.999000000000024	4.0	3.999000000000024	331.059	0.0	4.0	3.999000000000024	326.059
52	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	9.0	1.433	328.559	3.0	331.559	6.5	CTL16	10.999000000000024	5.499000000000024	5.5	339.55800000000005	0.0	5.499000000000024	5.5	331.559
67	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	8.0	0.4379999999999999	432.051	3.0	435.051	2.0	CTL17	9.0	4.5	4.5	441.051	0.0	4.5	4.5	435.051
69	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	9.0	0.938	441.55	3.0	444.55	4.0	CTL18	8.999000000000024	4.499000000000024	4.5	450.549	0.0	4.499000000000024	4.5	444.55
70	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	70.0	8.0	1.4380000000000002	448.55	3.0	451.549	0.5	CTL19	13.998999999999969	7.0	6.998999999999967	462.549	0.0	7.0	6.998999999999967	451.549
71	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	71.0	5.0	0.439	452.049	3.0	455.049	6.0	CTL20	6.998999999999967	3.498999999999967	3.5	459.048	0.0	3.498999999999967	3.5	455.049
76	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	76.0	5.0	2.441	480.047	3.0	483.047	5.5	CTL21	10.999000000000024	5.499000000000024	5.5	491.0460000000001	0.0	5.499000000000024	5.5	483.047
78	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	78.0	8.0	1.4409999999999998	496.046	3.0	499.046	2.5	CTL22	14.998999999999969	7.498999999999967	7.5	511.045	0.0	7.498999999999967	7.5	499.046
