	Condition	CorrectSource	Stim_RT
0	CTL	6	0.888
1	Enc	8	1.02
2	Enc	5	0.693
3	Enc	5	0.994
4	Enc	6	1.059
5	Enc	5	1.137
6	Enc	9	0.963
7	CTL	5	0.852
8	CTL	6	0.76
9	CTL	6	0.788
10	CTL	9	0.939
11	Enc	6	0.715
12	Enc	8	1.063
13	CTL	9	0.774
14	Enc	9	0.765
15	Enc	5	0.881
16	Enc	9	1.4
17	Enc	5	0.78
18	Enc	8	0.67
19	Enc	8	0.836
20	Enc	9	0.843
21	Enc	8	0.767
22	Enc	5	0.78
23	CTL	5	0.826
24	CTL	8	0.758
25	Enc	8	0.732
26	Enc	8	0.744
27	Enc	5	0.764
28	Enc	9	0.95
29	Enc	9	0.807
30	CTL	8	0.733
31	Enc	6	0.788
32	CTL	9	0.774
33	Enc	8	0.609
34	Enc	8	0.565
35	Enc	9	1.145
36	Enc	5	0.678
37	Enc	6	0.63
38	Enc	9	0.712
39	Enc	8	0.839
40	Enc	6	0.787
41	Enc	6	0.785
42	CTL	6	0.85
43	Enc	9	0.67
44	Enc	8	0.853
45	CTL	6	0.663
46	Enc	9	0.595
47	Enc	8	0.948
48	Enc	9	0.841
49	Enc	6	0.69
50	Enc	5	0.763
51	CTL	5	0.711
52	Enc	6	0.83
53	CTL	9	0.994
54	CTL	8	0.825
55	CTL	9	0.723
56	Enc	6	1.005
57	Enc	8	0.905
58	Enc	9	1.0
59	Enc	5	1.118
60	Enc	6	0.968
61	Enc	9	0.992
62	CTL	8	0.798
63	Enc	6	0.939
64	Enc	9	0.695
65	CTL	5	0.7
66	CTL	5	0.76
67	Enc	6	0.946
68	CTL	8	0.865
69	CTL	9	0.941
70	Enc	8	0.905
71	Enc	9	0.914
72	CTL	8	1.001
73	Enc	8	0.903
74	Enc	9	0.723
75	CTL	9	0.916
76	CTL	6	0.629
77	Enc	5	0.675
78	Enc	8	1.013
79	Enc	5	0.884
80	CTL	6	0.743
81	Enc	6	0.808
82	CTL	6	0.806
83	CTL	9	0.802
84	Enc	5	0.882
85	Enc	6	1.147
86	Enc	8	1.049
87	CTL	5	0.931
88	CTL	8	0.711
89	CTL	9	0.8
90	CTL	6	0.77
91	Enc	5	0.717
92	CTL	5	1.238
93	Enc	5	1.03
94	CTL	5	0.962
95	Enc	5	0.892
96	Enc	9	0.749
97	Enc	9	0.772
98	Enc	5	0.761
99	Enc	8	1.112
100	CTL	8	1.745
101	Enc	6	1.021
102	Enc	6	0.98
103	CTL	8	0.809
104	CTL	6	0.698
105	Enc	5	1.012
106	CTL	5	0.71
107	Enc	6	0.872
108	Enc	8	0.831
109	Enc	9	1.004
110	Enc	8	0.816
111	Enc	9	0.908
112	CTL	8	0.9
113	CTL	9	0.617
114	Enc	6	0.859
115	Enc	5	0.814
116	Enc	6	0.698
