	Condition	CorrectSource	Stim_RT
0	CTL	8	0.892
1	Enc	6	1.259
2	Enc	5	0.732
3	Enc	6	0.931
4	Enc	9	0.893
5	Enc	8	0.921
6	Enc	9	0.97
7	CTL	5	0.395
8	CTL	6	1.438
9	Enc	8	1.738
10	CTL	8	0.99
11	Enc	6	1.545
12	Enc	5	1.163
13	CTL	8	0.895
14	Enc	6	1.012
15	Enc	6	0.95
16	Enc	8	0.896
17	Enc	5	1.412
18	Enc	9	1.171
19	Enc	9	1.264
20	Enc	5	0.898
21	Enc	5	1.154
22	CTL	5	0.833
23	Enc	5	0.399
24	Enc	8	0.984
25	CTL	5	0.9
26	Enc	6	0.399
27	Enc	5	1.089
28	Enc	6	0.899
29	Enc	5	0.993
30	Enc	8	2.4
31	Enc	5	0.9
32	Enc	9	0.758
33	CTL	6	0.826
34	CTL	9	0.697
35	CTL	8	0.402
36	CTL	5	0.402
37	Enc	8	0.402
38	CTL	9	0.403
39	Enc	9	1.005
40	CTL	6	0.402
41	Enc	8	1.647
42	Enc	6	1.156
43	Enc	9	1.011
44	Enc	6	0.404
45	Enc	9	1.905
46	Enc	6	0.786
47	CTL	6	1.406
48	Enc	5	0.692
49	Enc	9	0.875
50	Enc	8	0.907
51	Enc	6	1.23
52	CTL	6	0.937
53	CTL	9	1.907
54	Enc	6	0.742
55	Enc	5	0.868
56	Enc	6	0.868
57	CTL	8	0.745
58	Enc	9	0.41
59	Enc	8	1.16
60	Enc	9	0.986
61	CTL	9	0.917
62	Enc	8	0.911
63	Enc	9	1.054
64	CTL	8	0.749
65	CTL	5	0.942
66	CTL	5	0.912
67	CTL	8	1.521
68	CTL	9	0.624
69	CTL	8	0.586
70	Enc	6	0.413
71	Enc	6	0.976
72	Enc	8	1.118
73	Enc	9	0.799
74	Enc	6	0.789
75	CTL	9	1.091
76	CTL	5	0.771
77	Enc	5	0.916
78	Enc	9	1.415
79	Enc	8	1.415
80	Enc	8	0.951
81	CTL	6	0.743
82	Enc	6	1.288
83	CTL	6	0.67
84	Enc	9	1.418
85	Enc	9	1.919
86	Enc	5	0.577
87	CTL	9	0.703
88	Enc	8	0.855
89	CTL	8	0.742
90	Enc	8	1.246
91	CTL	8	0.842
92	Enc	5	0.92
93	CTL	5	0.921
94	Enc	8	0.693
95	Enc	9	0.696
96	CTL	9	0.421
97	CTL	9	0.583
98	Enc	8	0.812
99	Enc	8	2.422
100	CTL	6	0.423
101	Enc	5	2.137
102	Enc	9	0.667
103	Enc	5	0.795
104	Enc	9	0.998
105	Enc	8	0.738
106	CTL	6	0.887
107	Enc	6	1.076
108	Enc	9	1.426
109	CTL	5	0.426
110	CTL	6	0.574
111	Enc	5	0.427
112	Enc	6	0.761
113	CTL	9	0.982
114	Enc	5	0.0
115	Enc	5	0.54
116	Enc	8	0.699
