trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
51	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	340.011	3.0	343.011	1.5	CTL13	5.0	1.27	13.998000000000276	6.999000000000137	6.999000000000137	354.0090000000003	0.0	6.999000000000137	6.999000000000137	343.011
53	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	348.511	3.0	351.51	3.0	CTL14	9.0	1.336	7.998999999999967	4.0	3.998999999999967	356.51	0.0	4.0	3.998999999999967	351.51
54	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	354.51	3.0	357.51	5.5	CTL15	8.0	0.479	11.998999999999969	5.998999999999967	6.0	366.509	0.0	5.998999999999967	6.0	357.51
55	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	363.009	3.0	366.009	2.0	CTL16	9.0	1.093	16.998000000000047	8.499000000000024	8.499000000000024	380.00700000000006	0.0	8.499000000000024	8.499000000000024	366.009
62	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	406.006	3.0	409.005	10.0	CTL17	8.0	1.481	14.999000000000024	7.5	7.499000000000024	421.005	0.0	7.5	7.499000000000024	409.005
65	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	430.503	3.0	433.503	6.0	CTL18	5.0	0.955	10.997999999999934	5.498999999999967	5.498999999999967	441.5009999999999	0.0	5.498999999999967	5.498999999999967	433.503
66	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	439.503	3.0	442.502	3.5	CTL19	5.0	0.483	17.999000000000024	9.0	8.999000000000024	457.502	0.0	9.0	8.999000000000024	442.502
68	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	450.502	3.0	453.501	2.5	CTL20	8.0	1.983	8.998999999999967	4.5	4.498999999999967	459.501	0.0	4.5	4.498999999999967	453.501
69	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	456.001	3.0	459.001	4.0	CTL21	9.0	1.075	10.998999999999969	5.498999999999967	5.5	467.0	0.0	5.498999999999967	5.5	459.001
72	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	474.0	3.0	476.999	3.0	CTL22	8.0	0.984	11.999000000000024	6.0	5.999000000000024	485.999	0.0	6.0	5.999000000000024	476.999
