trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
51	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	51.0	5.0	0.6920000000000001	340.022	3.0	343.022	1.5	CTL13	13.997999999999934	6.998999999999967	6.998999999999967	354.0199999999999	0.0	6.998999999999967	6.998999999999967	343.022
53	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	9.0	2.408	348.521	3.0	351.521	3.0	CTL14	7.998000000000047	3.999000000000024	3.999000000000024	356.51900000000006	0.0	3.999000000000024	3.999000000000024	351.521
54	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	54.0	8.0	1.4069999999999998	354.521	3.0	357.521	5.5	CTL15	12.0	6.0	6.0	366.521	0.0	6.0	6.0	357.521
55	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	55.0	9.0	0.408	363.02	3.0	366.02	2.0	CTL16	16.997999999999934	8.498999999999967	8.498999999999967	380.0179999999999	0.0	8.498999999999967	8.498999999999967	366.02
62	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	62.0	8.0	0.6970000000000001	406.016	3.0	409.016	10.0	CTL17	14.998000000000047	7.499000000000024	7.499000000000024	421.01400000000007	0.0	7.499000000000024	7.499000000000024	409.016
65	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	5.0	0.411	430.514	3.0	433.514	6.0	CTL18	10.999000000000024	5.499000000000024	5.5	441.513	0.0	5.499000000000024	5.5	433.514
66	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	5.0	0.623	439.513	3.0	442.513	3.5	CTL19	17.997999999999934	8.998999999999967	8.998999999999967	457.5109999999999	0.0	8.998999999999967	8.998999999999967	442.513
68	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	68.0	8.0	0.412	450.51199999999983	3.0	453.51199999999983	2.5	CTL20	8.998999999999853	4.498999999999853	4.5	459.5109999999997	0.0	4.498999999999853	4.5	453.51199999999983
69	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	69.0	9.0	0.8320000000000001	456.01199999999983	3.0	459.011	4.0	CTL21	10.999000000000194	5.5	5.499000000000194	467.011	0.0	5.5	5.499000000000194	459.011
72	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	72.0	8.0	0.598	474.01	3.0	477.01	3.0	CTL22	11.998999999999969	5.998999999999967	6.0	486.009	0.0	5.998999999999967	6.0	477.01
