trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	ImageID	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	124.586	3.0	127.586	1.0	Old09	Enc18	5	1.179	130.586	4.5	4.5	255.17200000000003	False	4.5	4.5	127.586
24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	128.586	3.0	131.585	2.5	Old40	Enc19	8	1.346	134.585	4.000000000000014	3.9990000000000094	263.17100000000005	False	4.000000000000014	3.9990000000000094	131.585
26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	26	139.585	3.0	142.585	0.5	Old77	Enc20	6	1.422	145.585	5.5	5.5	285.17	False	5.5	5.5	142.585
27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	27	143.085	3.0	146.084	5.5	Old62	Enc21	5	1.463	149.084	3.5	3.4989999999999952	292.169	False	3.5	3.4989999999999952	146.084
28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	151.584	3.0	154.584	5.5	Old66	Enc22	6	2.2840000000000003	157.584	8.498999999999995	8.5	309.168	False	8.498999999999995	8.5	154.584
29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	160.083	3.0	163.083	2.0	Old10	Enc23	5	0.994	166.083	8.498999999999995	8.498999999999995	326.166	False	8.498999999999995	8.498999999999995	163.083
30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	165.083	3.0	168.083	1.0	Old13	Enc24	8	0.959	171.083	5.0	5.0	336.166	False	5.0	5.0	168.083
31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	31	169.082	3.0	172.082	3.0	Old52	Enc25	5	1.033	175.082	3.9989999999999952	3.9989999999999952	344.164	False	3.9989999999999952	3.9989999999999952	172.082
32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	175.082	3.0	178.082	3.5	Old59	Enc26	9	1.099	181.082	6.0	6.0	356.164	False	6.0	6.0	178.082
37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	37	207.08	3.0	210.079	2.0	Old49	Enc27	8	1.041	213.079	5.0	4.998999999999995	420.159	False	5.0	4.998999999999995	210.079
39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	39	216.079	3.0	219.079	0.5	Old24	Enc28	9	1.009	222.079	4.0	4.0	438.158	False	4.0	4.0	219.079
41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	41	223.078	3.0	226.078	2.0	Old32	Enc29	8	0.939	229.078	3.4989999999999952	3.5	452.156	False	3.4989999999999952	3.5	226.078
42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	228.078	3.0	231.078	4.5	Old53	Enc30	6	1.034	234.078	5.0	5.0	462.156	False	5.0	5.0	231.078
43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	43	235.577	3.0	238.577	3.5	Old07	Enc31	9	1.545	241.577	7.498999999999995	7.498999999999995	477.154	False	7.498999999999995	7.498999999999995	238.577
44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	44	242.077	3.0	245.077	8.0	Old73	Enc32	6	1.268	248.077	6.5	6.5	490.154	False	6.5	6.5	245.077
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	253.076	3.0	256.076	9.0	Old25	Enc33	9	1.43	259.076	10.998999999999995	10.999000000000024	512.152	False	10.998999999999995	10.999000000000024	256.076
46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	46	265.075	3.0	268.075	0.5	Old19	Enc34	6	1.347	271.075	11.998999999999995	11.998999999999967	536.15	False	11.998999999999995	11.998999999999969	268.075
48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	274.074	3.0	277.074	8.5	Old68	Enc35	5	0.913	280.074	5.499000000000024	5.5	554.148	False	5.499000000000024	5.5	277.074
49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	49	285.573	3.0	288.573	0.5	Old06	Enc36	9	1.169	291.573	11.498999999999967	11.498999999999967	577.146	False	11.498999999999969	11.498999999999969	288.573
50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	289.073	3.0	292.073	5.5	Old11	Enc37	8	1.193	295.073	3.5	3.5	584.146	False	3.5	3.5	292.073
51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	51	297.572	3.0	300.572	3.0	Old44	Enc38	6	1.063	303.572	8.499000000000024	8.499000000000024	601.144	False	8.499000000000024	8.499000000000024	300.572
54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	54	320.071	3.0	323.07	0.5	Old65	Enc39	6	1.09	326.07	9.5	9.498999999999967	646.1410000000001	False	9.5	9.498999999999969	323.07
55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	55	323.57	3.0	326.57	11.0	Old64	Enc40	5	2.2	329.57	3.498999999999967	3.5	653.14	False	3.498999999999967	3.5	326.57
56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	56	338.069	3.0	341.069	9.5	Old78	Enc41	6	1.15	344.069	14.499000000000024	14.499000000000024	682.138	False	14.499000000000024	14.499000000000024	341.069
58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	58	354.56800000000004	3.0	357.56800000000004	5.5	Old61	Enc42	9	1.047	360.56800000000004	4.0	4.0	715.1360000000001	False	4.0	4.0	357.56800000000004
59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	59	363.067	3.0	366.067	1.5	Old21	Enc43	8	1.638	369.067	8.498999999999967	8.498999999999967	732.134	False	8.498999999999967	8.498999999999967	366.067
60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	367.567	3.0	370.567	1.0	Old31	Enc44	9	1.662	373.567	4.5	4.5	741.134	False	4.5	4.5	370.567
62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	62	376.566	3.0	379.566	3.5	Old16	Enc45	8	0.924	382.566	4.998999999999967	5.0	759.132	False	4.998999999999967	5.0	379.566
63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	63	383.066	3.0	386.066	1.5	Old27	Enc46	9	0.961	389.066	6.5	6.5	772.132	False	6.5	6.5	386.066
