	Condition	CorrectSource	Stim_RT
0	CTL	8	1.184
1	Enc	6	2.353
2	Enc	5	1.51
3	Enc	6	2.496
4	Enc	9	2.006
5	Enc	8	2.657
6	Enc	9	2.124
7	CTL	5	1.032
8	CTL	6	1.078
9	Enc	8	1.384
10	CTL	8	0.855
11	Enc	6	2.231
12	Enc	5	1.982
13	CTL	8	1.115
14	Enc	6	1.736
15	Enc	6	1.401
16	Enc	8	1.473
17	Enc	5	1.431
18	Enc	9	2.197
19	Enc	9	1.204
20	Enc	5	1.588
21	Enc	5	1.532
22	CTL	5	0.792
23	Enc	5	1.057
24	Enc	8	1.282
25	CTL	5	0.772
26	Enc	6	1.338
27	Enc	5	1.131
28	Enc	6	0.923
29	Enc	5	0.802
30	Enc	8	1.06
31	Enc	5	2.327
32	Enc	9	1.171
33	CTL	6	0.611
34	CTL	9	0.805
35	CTL	8	0.732
36	CTL	5	0.614
37	Enc	8	1.135
38	CTL	9	0.735
39	Enc	9	1.697
40	CTL	6	0.895
41	Enc	8	0.801
42	Enc	6	1.889
43	Enc	9	0.894
44	Enc	6	0.875
45	Enc	9	1.318
46	Enc	6	0.586
47	CTL	6	1.962
48	Enc	5	0.597
49	Enc	9	1.063
50	Enc	8	1.278
51	Enc	6	1.402
52	CTL	6	1.059
53	CTL	9	0.552
54	Enc	6	0.96
55	Enc	5	2.241
56	Enc	6	0.741
57	CTL	8	0.757
58	Enc	9	1.41
59	Enc	8	1.207
60	Enc	9	1.471
61	CTL	9	0.616
62	Enc	8	0.777
63	Enc	9	1.238
64	CTL	8	0.75
65	CTL	5	0.692
66	CTL	5	0.552
67	CTL	8	0.576
68	CTL	9	0.758
69	CTL	8	0.81
70	Enc	6	1.352
71	Enc	6	1.649
72	Enc	8	2.422
73	Enc	9	2.609
74	Enc	6	1.864
75	CTL	9	0.838
76	CTL	5	0.799
77	Enc	5	1.614
78	Enc	9	2.505
79	Enc	8	1.388
80	Enc	8	1.372
81	CTL	6	0.65
82	Enc	6	1.072
83	CTL	6	0.611
84	Enc	9	1.678
85	Enc	9	1.166
86	Enc	5	0.793
87	CTL	9	0.682
88	Enc	8	1.237
89	CTL	8	0.664
90	Enc	8	0.586
91	CTL	8	2.845
92	Enc	5	0.929
93	CTL	5	2.063
94	Enc	8	1.334
95	Enc	9	2.299
96	CTL	9	0.743
97	CTL	9	0.616
98	Enc	8	1.249
99	Enc	8	0.0
100	CTL	6	0.709
101	Enc	5	1.067
102	Enc	9	1.204
103	Enc	5	1.238
104	Enc	9	1.401
105	Enc	8	1.091
106	CTL	6	0.766
107	Enc	6	1.897
108	Enc	9	1.632
109	CTL	5	1.341
110	CTL	6	0.779
111	Enc	5	1.315
112	Enc	6	1.471
113	CTL	9	0.957
114	Enc	5	1.096
115	Enc	5	1.198
116	Enc	8	1.269
