trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	59.599	3.0	62.599	1.5	CTL01	8.0	0.768	10.998999999999995	5.498999999999995	5.5	70.59799999999998	0.0	5.498999999999995	5.5	62.599
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	64.09899999999999	3.0	67.098	1.5	CTL02	5.0	0.636	8.998999999999995	4.499999999999993	4.499000000000002	73.09799999999998	0.0	4.499999999999993	4.499000000000002	67.098
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	72.098	3.0	75.098	0.5	CTL03	6.0	1.036	7.0	3.5	3.5	79.098	0.0	3.5	3.5	75.098
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	85.09700000000002	3.0	88.09700000000002	2.0	CTL04	8.0	0.943	9.000000000000028	4.500000000000028	4.5	94.09700000000004	0.0	4.500000000000028	4.5	88.09700000000002
22	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	144.092	3.0	147.091	1.0	CTL05	8.0	0.647	9.998999999999995	5.0	4.998999999999995	154.091	0.0	5.0	4.998999999999995	147.091
23	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	23.0	148.091	3.0	151.091	1.5	CTL06	5.0	0.619	7.998999999999995	3.9989999999999952	4.0	156.09	0.0	3.9989999999999952	4.0	151.091
27	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	27.0	176.08900000000003	3.0	179.088	3.5	CTL07	5.0	0.618	18.998999999999967	9.5	9.498999999999969	195.088	0.0	9.5	9.498999999999969	179.088
30	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	30.0	209.586	3.0	212.585	1.0	CTL08	6.0	0.6659999999999999	31.997000000000043	15.999000000000024	15.99800000000002	241.58300000000008	0.0	15.999000000000024	15.99800000000002	212.585
38	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	255.082	3.0	258.081	0.5	CTL09	9.0	0.563	7.999000000000024	4.0	3.999000000000024	263.081	0.0	4.0	3.999000000000024	258.081
39	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	39.0	258.581	3.0	261.581	1.0	CTL10	8.0	0.66	6.999000000000024	3.499000000000024	3.5	265.58000000000004	0.0	3.499000000000024	3.5	261.581
