	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
81	484.00800000000004	3.0	487.00800000000004	6.0	False	CTL27	0	6	0.975
82	493.00699999999983	3.0	496.00699999999983	1.5	Old28	Enc56	1	6	1.554
83	497.50699999999983	3.0	500.509	13.0	False	CTL28	0	6	0.89
84	513.505	3.0	516.505	1.5	Old64	Enc57	1	9	1.476
85	518.005	3.0	521.005	1.5	Old75	Enc58	1	9	1.8619999999999999
86	522.505	3.0	525.504	7.5	Old58	Enc59	1	5	2.334
87	533.004	3.0	536.003	1.5	False	CTL29	0	9	1.158
88	537.503	3.0	540.503	3.5	Old54	Enc60	1	8	1.959
89	544.003	3.0	547.002	1.0	False	CTL30	0	8	0.6970000000000001
90	548.002	3.0	551.002	1.5	Old01	Enc61	1	8	1.9780000000000002
91	552.502	3.0	555.502	3.5	False	CTL31	0	8	1.043
92	559.001	3.0	562.001	4.5	Old33	Enc62	1	5	0.9790000000000001
93	566.501	3.0	569.5	3.0	False	CTL32	0	5	0.75
94	572.5	3.0	575.5	0.5	Old66	Enc63	1	8	1.9509999999999998
95	576.0	3.0	578.999	8.0	Old76	Enc64	1	9	1.4780000000000002
96	586.999	3.0	589.998	5.0	False	CTL33	0	9	0.479
97	594.998	3.0	597.998	0.5	False	CTL34	0	9	0.8740000000000001
98	598.498	3.0	601.497	1.0	Old70	Enc65	1	8	1.48
99	602.497	3.0	605.497	11.0	Old74	Enc66	1	8	2.423
100	616.996	3.0	619.996	2.5	False	CTL35	0	6	0.48100000000000004
101	622.495	3.0	625.495	2.0	Old07	Enc67	1	5	2.194
102	627.495	3.0	630.495	0.5	Old02	Enc68	1	9	2.4819999999999998
103	630.995	3.0	633.994	1.0	Old31	Enc69	1	5	1.482
104	634.994	3.0	637.994	1.0	Old50	Enc70	1	9	2.483
105	638.994	3.0	641.994	0.5	Old35	Enc71	1	8	0.983
106	642.494	3.0	645.493	7.5	False	CTL36	0	6	0.909
107	652.993	3.0	655.992	15.0	Old20	Enc72	1	6	0.8390000000000001
108	670.9910000000001	3.0	673.9910000000001	0.5	Old77	Enc73	1	9	1.124
109	674.4910000000001	3.0	677.4910000000001	1.0	False	CTL37	0	5	0.484
110	678.49	3.0	681.49	0.5	False	CTL38	0	6	0.7909999999999999
111	681.99	3.0	684.99	9.0	Old51	Enc74	1	5	0.484
112	693.9889999999998	3.0	696.9889999999998	6.0	Old43	Enc75	1	6	0.985
113	702.988	3.0	705.988	10.0	False	CTL39	0	9	0.934
114	716.487	3.0	719.487	5.0	Old21	Enc76	1	5	0.986
115	724.4860000000001	3.0	727.4860000000001	1.0	Old29	Enc77	1	5	1.8630000000000002
116	728.4860000000001	3.0	731.4860000000001	18.0	Old23	Enc78	1	8	1.725
