	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	OLD	sporting_boxing_gloves.bmp	Old56	1	1	2.522	5	1445
1	OLD	sporting_footballhelmet.bmp	Old57	1	1	2.009	8	3191
2	New	fruit_granny smith apple.bmp	New16	0	1	1.557	6	1494
3	OLD	food_shellpasta.bmp	Old25	1	1	1.687	5	891
4	New	sporting_flippers.bmp	New02	1	2	1.942	5	891
5	OLD	fruit_lemon_new.bmp	Old69	1	1	1.43	9	1133
6	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.524	8	758
7	OLD	food_baguette01.bmp	Old14	1	1	1.397	6	741
8	OLD	vegie_green capsicum.bmp	Old75	1	1	1.596	6	1028
9	OLD	kitchen_pitcher.bmp	Old34	1	1	1.641	9	718
10	OLD	animal_parrot.bmp	Old09	0	2	5.198	9	718
11	OLD	food_croissant01.bmp	Old19	1	1	6.438	8	2797
12	OLD	animal_dalmation_old.bmp	Old04	1	1	1.338	9	652
13	New	kitchen_fork_old.bmp	New18	1	2	1.59	9	652
14	New	animal_seal.bmp	New38	1	2	1.964	9	652
15	OLD	fruit_blackberry_new.bmp	Old66	0	2	1.644	9	652
16	New	kitchen_ramekin.bmp	New13	0	1	4.985	6	594
17	OLD	sporting_bicycle_old.bmp	Old55	1	1	2.519	8	2116
18	OLD	vegie_mushroom.bmp	Old76	1	1	1.5	6	744
19	New	animal_horse.bmp	New20	0	1	4.857	8	934
20	OLD	musical_triangle.bmp	Old49	1	1	1.591	6	533
21	New	musical_tambourine_new.bmp	New06	1	2	1.869	6	533
22	OLD	kitchen_white strainer.bmp	Old38	1	1	1.92	5	2770
23	New	food_bread.bmp	New28	1	2	2.227	5	2770
24	OLD	musical_double bass.bmp	Old45	1	1	1.584	5	615
25	OLD	musical_drums_old.bmp	Old46	1	1	1.334	8	664
26	OLD	food_pickle01a.bmp	Old22	1	1	1.363	5	531
27	OLD	animal_sheep.bmp	Old11	1	1	2.012	5	1371
28	OLD	food_chocolatemilk.bmp	Old17	1	1	1.37	9	563
29	New	animal_gorilla.bmp	New15	1	2	1.666	9	563
30	OLD	animal_frog.bmp	Old06	1	1	1.628	5	2578
31	OLD	musical_xylophone_old.bmp	Old52	1	1	1.745	8	554
32	OLD	animal_siamese cat.bmp	Old12	1	1	1.242	9	608
33	OLD	food_bottleofredwine01.bmp	Old15	1	1	1.678	5	530
34	OLD	vegie_corn02.bmp	Old73	0	2	2.771	5	530
35	OLD	animal_zebra_old.bmp	Old13	1	1	1.347	8	612
36	New	kitchen_garlic press.bmp	New07	1	2	1.538	8	612
37	OLD	musical_clarinet_new.bmp	Old44	1	1	2.187	6	1339
38	OLD	animal_farm pig.bmp	Old05	1	1	1.572	6	644
39	OLD	musical_accordion_old.bmp	Old41	0	2	3.777	6	644
40	OLD	musical_harmonica_new.bmp	Old47	1	1	1.255	9	636
41	New	sporting_weighlifting.bmp	New25	1	2	1.552	9	636
42	OLD	animal_cheetah.bmp	Old02	1	1	3.391	8	527
43	OLD	sporting_rollerblade.bmp	Old62	1	1	2.64	6	1245
44	New	sporting_baseball bat_new.bmp	New08	0	1	4.841	5	1760
45	New	food_cookie01.bmp	New11	1	2	1.432	5	1760
46	OLD	food_toast.bmp	Old26	1	1	2.204	6	1547
47	New	vegie_cucumber.bmp	New33	1	2	1.707	6	1547
48	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	1.716	9	518
49	OLD	animal_monarch_old.bmp	Old08	1	1	1.367	9	728
50	New	musical_bongo drum.bmp	New23	1	2	1.392	9	728
51	New	animal_giraffe.bmp	New03	0	1	1.455	8	836
52	OLD	food_cracker02.bmp	Old18	1	1	1.969	6	770
53	New	food_pizza.bmp	New22	1	2	1.536	6	770
54	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.12	5	506
55	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.267	6	544
56	New	musical_uculele_new.bmp	New39	0	1	2.152	5	1681
57	New	vegie_broccoli.bmp	New36	1	2	1.277	5	1681
58	OLD	musical_tuba.bmp	Old50	1	1	2.175	5	1687
59	New	vegie_pumpkin.bmp	New21	0	1	2.641	5	894
60	New	musical_zamponia windflute.bmp	New29	1	2	1.777	5	894
61	OLD	kitchen_plate.bmp	Old35	0	2	2.664	5	894
62	OLD	kitchen_ladle.bmp	Old31	1	1	1.388	8	891
63	OLD	animal_camel_new.bmp	Old01	1	1	1.494	9	681
64	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.66	9	696
65	OLD	kitchen_peppermill.bmp	Old33	1	1	3.281	8	886
66	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.304	6	507
67	OLD	kitchen_martini glass.bmp	Old32	1	1	1.485	6	505
68	OLD	vegie_cauliflower.bmp	Old72	1	1	1.186	5	521
69	New	food_drink.bmp	New05	1	2	1.497	5	521
70	New	food_bagel01.bmp	New17	1	2	1.419	5	521
71	New	kitchen_toaster_old.bmp	New30	1	2	1.281	5	521
72	New	musical_french horn_old.bmp	New12	0	1	2.243	8	496
73	OLD	musical_harp_new.bmp	Old43	1	1	1.331	6	477
74	OLD	fruit_green grapes.bmp	Old68	1	1	1.408	9	535
75	New	food_walnut01c.bmp	New34	1	2	2.055	9	535
76	New	sporting_basketball_new.bmp	New14	0	1	1.332	5	1022
77	OLD	Kitchen_apron.bmp	Old27	0	2	2.09	5	1022
78	New	kitchen_kettle_new.bmp	New24	1	2	1.356	5	1022
79	OLD	food_candy.bmp	Old16	1	1	1.243	9	641
80	OLD	food_softcheese.bmp	Old24	1	1	1.476	8	528
81	OLD	sporting_americanfootball.bmp	Old53	1	1	1.44	5	733
82	OLD	sporting_karate clothing.bmp	Old60	1	1	1.55	6	663
83	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.315	6	637
84	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.57	9	1130
85	New	fruit_rasberry.bmp	New10	1	2	2.403	9	1130
86	OLD	vegie_carrot.bmp	Old78	1	1	1.385	8	1009
87	New	kitchen_baking spatula.bmp	New01	1	2	3.048	8	1009
88	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.437	5	482
89	OLD	animal_lion_new.bmp	Old07	1	1	1.572	8	524
90	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.206	8	491
91	OLD	food_frenchfries.bmp	Old20	1	1	1.79	9	510
92	OLD	food_pecan02.bmp	Old21	1	1	1.423	5	444
93	OLD	kitchen_tea cup and saucer.bmp	Old37	0	2	1.216	5	444
