	Condition	CorrectSource	Stim_RT
0	1	6	2.772
1	1	5	2.964
2	1	6	2.558
3	1	9	0.0
4	1	8	0.0
5	1	9	1.875
6	1	8	1.949
7	0	8	1.369
8	0	5	1.144
9	1	6	1.88
10	0	6	1.697
11	1	5	2.579
12	1	6	1.724
13	0	8	1.363
14	1	6	2.3
15	1	8	2.026
16	1	5	2.011
17	1	9	2.594
18	1	9	1.545
19	1	5	1.932
20	1	5	1.251
21	1	5	1.358
22	0	8	1.512
23	0	5	1.228
24	1	8	1.579
25	1	6	0.995
26	1	5	1.522
27	0	5	0.882
28	1	6	0.971
29	1	5	1.396
30	0	6	0.925
31	1	8	2.546
32	1	5	1.718
33	1	9	1.925
34	1	8	1.19
35	1	9	1.816
36	1	8	1.103
37	1	6	0.0
38	0	9	1.301
39	0	8	1.231
40	1	9	1.835
41	1	6	2.013
42	1	9	1.616
43	1	6	1.268
44	0	5	0.0
45	1	5	2.169
46	1	9	0.0
47	0	9	1.753
48	1	8	2.528
49	0	6	1.593
50	0	6	1.299
51	0	6	1.135
52	0	9	0.811
53	1	6	2.251
54	1	6	2.155
55	1	5	2.834
56	1	6	2.104
57	1	9	1.756
58	1	8	2.542
59	1	9	0.0
60	1	8	0.0
61	1	9	2.392
62	1	6	2.043
63	1	6	2.413
64	1	8	2.215
65	1	9	1.468
66	1	6	2.018
67	0	8	1.905
68	1	5	2.531
69	0	9	0.0
70	0	8	0.957
71	0	5	0.991
72	1	9	2.46
73	1	8	0.0
74	1	8	2.122
75	1	6	2.465
76	0	5	1.686
77	1	9	2.016
78	0	8	0.814
79	1	9	2.322
80	0	9	0.722
81	0	8	0.755
82	0	9	0.721
83	0	5	0.647
84	1	5	2.942
85	0	6	1.52
86	0	6	0.805
87	1	8	1.555
88	0	9	2.772
89	1	8	2.427
90	1	5	1.803
91	1	8	2.013
92	0	8	1.225
93	1	9	1.844
94	1	8	2.542
95	1	8	1.609
96	0	8	1.114
97	0	5	0.991
98	1	5	2.584
99	0	9	1.348
100	0	9	1.254
101	0	6	0.842
102	1	9	2.772
103	0	6	1.677
104	0	5	0.951
105	0	6	1.237
106	1	5	2.068
107	1	9	0.0
108	1	8	0.0
109	1	6	0.0
110	1	9	0.0
111	0	9	0.66
112	1	5	2.173
113	1	6	2.059
114	1	5	1.966
115	1	5	2.426
116	1	8	0.0
