	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	New	animal_pigeon.bmp	New32	1	2	2.71	False	0	1	8	1.787
1	OLD	fruit_green grapes.bmp	Old68	1	1	3.5189999999999997	6.0	1417	0	6	1.9609999999999999
2	OLD	food_toast.bmp	Old26	0	2	1.83	6.0	1417	1	5	1.34
3	OLD	vegie_garlic01a.bmp	Old74	1	1	1.275	9.0	2359	1	5	1.205
4	New	food_walnut01c.bmp	New34	0	1	4.311	6.0	5626	0	5	1.2229999999999999
5	OLD	animal_frog.bmp	Old06	1	1	2.551	8.0	1088	0	6	1.411
6	OLD	musical_clarinet_new.bmp	Old44	1	1	1.4509999999999998	9.0	535	1	6	1.949
7	OLD	sporting_snow shoes_old.bmp	Old64	1	1	2.688	5.0	667	1	5	1.745
8	New	sporting_baseball bat_new.bmp	New08	0	1	4.381	6.0	510	0	6	1.31
9	OLD	animal_chimpanzee.bmp	Old03	1	1	1.111	8.0	1225	1	9	1.6130000000000002
10	OLD	kitchen_pitcher.bmp	Old34	1	1	4.918	9.0	601	0	9	0.86
11	OLD	sporting_fishing rod.bmp	Old59	1	1	1.686	6.0	2010	1	6	1.56
12	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.656	8.0	284	0	9	0.861
13	OLD	food_shellpasta.bmp	Old25	0	2	4.718	8.0	284	0	5	0.601
14	OLD	food_baguette01.bmp	Old14	0	2	1.327	8.0	284	1	8	1.3259999999999998
15	OLD	vegie_corn02.bmp	Old73	1	1	1.3840000000000001	5.0	296	1	9	1.136
16	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	1.682	6.0	1614	1	5	1.6740000000000002
17	New	musical_bagpipes.bmp	New35	1	2	1.723	6.0	1614	1	9	1.272
18	New	kitchen_garlic press.bmp	New07	1	2	1.716	6.0	1614	1	5	1.348
19	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.341	9.0	1462	1	8	1.278
20	OLD	musical_double bass.bmp	Old45	0	2	7.409	9.0	1462	1	8	1.7530000000000001
21	OLD	kitchen_big cooking pot.bmp	Old28	1	1	1.126	9.0	344	1	9	1.189
22	OLD	musical_xylophone_old.bmp	Old52	1	1	1.232	6.0	334	1	8	1.23
23	OLD	kitchen_plate.bmp	Old35	0	2	1.3019999999999998	6.0	334	1	5	1.466
24	OLD	animal_parrot.bmp	Old09	1	1	1.56	9.0	1409	0	8	0.852
25	New	kitchen_fork_old.bmp	New18	1	2	1.504	9.0	1409	1	8	1.454
26	OLD	animal_sheep.bmp	Old11	1	1	1.5290000000000001	9.0	507	1	8	1.087
27	New	fruit_rasberry.bmp	New10	0	1	4.957	5.0	326	1	5	1.393
28	OLD	kitchen_ladle.bmp	Old31	1	1	1.4709999999999999	9.0	3946	0	8	0.677
