trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	ImageID	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	20.075	3.0	23.075	0.5	Old59	Enc01	6	1.4169999999999998	26.075	8.498999999999999	8.498999999999999	46.15	False	8.498999999999999	8.498999999999999	23.075
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	23.575	3.0	26.575	1.0	Old13	Enc02	5	0.857	29.575	3.5	3.5	53.15	False	3.5	3.5	26.575
3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	27.575	3.0	30.575	1.0	Old18	Enc03	6	1.002	33.575	4.0	4.0	61.150000000000006	False	4.0	4.0	30.575
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	31.574	3.0	34.574	1.5	Old70	Enc04	9	0.931	37.574	3.9990000000000023	3.9989999999999988	69.148	False	3.9990000000000014	3.998999999999999	34.574
5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	36.074	3.0	39.074	2.0	Old57	Enc05	8	1.63	42.074	4.4999999999999964	4.5	78.148	False	4.4999999999999964	4.5	39.074
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	41.074	3.0	44.073	3.0	Old46	Enc06	9	1.093	47.073	5.0	4.999000000000002	88.14699999999999	False	5.0	4.999000000000002	44.073
9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	57.572	3.0	60.572	2.5	Old30	Enc07	8	1.054	63.572	6.999000000000002	6.999000000000002	121.144	False	6.999000000000002	6.999000000000002	60.572
11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	67.572	3.0	70.571	2.0	Old40	Enc08	6	1.517	73.571	4.5	4.498999999999995	141.143	False	4.5	4.498999999999995	70.571
12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	72.571	3.0	75.571	3.5	Old23	Enc09	5	1.403	78.571	4.998999999999995	5.0	151.142	False	4.998999999999995	5.0	75.571
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	82.57	3.0	85.57	2.5	Old29	Enc10	6	1.342	88.57	3.4989999999999952	3.5	171.14	False	3.4989999999999952	3.5	85.57
