category	stim	oldnumber	recognition_acc	recognition_resp	recognition_rt	spatial_resp	spatial_rt	spatial_acc( corriger voir output-encodage)
new	sporting_basketball_new.bmp	new14	1	2	6460		0	
new	animal_horse.bmp	new20	1	2	2482		0	
new	animal_pigeon.bmp	new32	0	1	2989	6.0	13492	
old	food_candy.bmp	old16	1	1	2156	6.0	1997	
new	animal_dolphin_old.bmp	new09	1	2	3068	6.0	1997	
old	sporting_footballhelmet.bmp	old57	1	1	1833	6.0	1519	
new	sporting_weighlifting.bmp	new25	1	2	2001	6.0	1519	
old	vegie_garlic01a.bmp	old74	1	1	1495	8.0	2435	
old	vegie_radish.bmp	old77	1	1	5056	5.0	590	
old	animal_zebra_old.bmp	old13	1	1	2285	5.0	1321	
old	animal_penguin.bmp	old10	1	1	3747	9.0	10853	
new	musical_bagpipes.bmp	new35	1	2	3412	9.0	10853	
new	kitchen_baking spatula.bmp	new01	1	2	2388	9.0	10853	
old	musical_accordion_old.bmp	old41	1	1	1411	5.0	1090	
old	sporting_rollerblade.bmp	old62	1	1	2205	6.0	3588	
old	sporting_hockey stick_old.bmp	old58	1	1	2652	8.0	1033	
new	fruit_rasberry.bmp	new10	1	2	1807	8.0	1033	
old	animal_cheetah.bmp	old02	0	2	3998	8.0	1033	
old	musical_clarinet_new.bmp	old44	1	1	1213	5.0	2333	
old	sporting_snow shoes_old.bmp	old64	0	2	2374	5.0	2333	
old	animal_camel_new.bmp	old01	1	1	2734	8.0	1649	
new	animal_ostrich.bmp	new26	1	2	2518	8.0	1649	
new	kitchen_fork_old.bmp	new18	1	2	2833	8.0	1649	
old	vegie_corn02.bmp	old73	1	1	1439	6.0	732	
new	musical_french horn_old.bmp	new12	1	2	3742	6.0	732	
old	musical_triangle.bmp	old49	0	2	2144	6.0	732	
old	sporting_bicycle_old.bmp	old55	0	2	1929	6.0	732	
old	musical_violin_old.bmp	old51	1	1	2003	5.0	1570	
old	vegie_mushroom.bmp	old76	0	2	2625	5.0	1570	
old	sporting_soccer ball_new.bmp	old65	1	1	1128	9.0	1210	
old	food_bottleofredwine01.bmp	old15	1	1	1824	6.0	2326	
old	kitchen_tea cup and saucer.bmp	old37	1	1	1920	8.0	1322	
new	food_pizza.bmp	new22	1	2	3372	8.0	1322	
old	kitchen_white strainer.bmp	old38	1	1	1547	6.0	2413	
old	food_toast.bmp	old26	1	1	1580	6.0	828	
old	kitchen_plate.bmp	old35	1	1	1473	5.0	1749	
old	hard_musical_recorder.bmp	old40	1	1	1687	9.0	1282	
old	food_pecan02.bmp	old21	0	2	2334	9.0	1282	
new	vegie_pumpkin.bmp	new21	1	2	2112	9.0	1282	
old	kitchen_cookie cutter.bmp	old30	1	1	1579	6.0	395	
old	food_rawchicken.bmp	old23	1	1	1642	8.0	510	
old	fruit_blackberry_new.bmp	old66	1	1	2577	9.0	801	
old	vegie_green capsicum.bmp	old75	1	1	2864	5.0	501	
old	animal_sheep.bmp	old11	1	1	1480	5.0	412	
old	food_croissant01.bmp	old19	1	1	1866	9.0	663	
old	musical_harp_new.bmp	old43	1	1	1475	5.0	511	
old	fruit_watermelon_old.bmp	old71	1	1	1169	5.0	362	
old	animal_lion_new.bmp	old07	1	1	1762	8.0	594	
new	sporting_flippers.bmp	new02	1	2	3233	8.0	594	
old	sporting_boxing_gloves.bmp	old56	1	1	2088	9.0	531	
old	sporting_mini-trampoline.bmp	old61	1	1	1172	5.0	388	
old	musical_xylophone_old.bmp	old52	1	1	1267	6.0	455	
new	fruit_cherry.bmp	old67	1	1	1164	5.0	356	
old	animal_siamese cat.bmp	old12	0	2	3348	5.0	356	
new	food_walnut01c.bmp	new34	1	2	2758	5.0	356	
new	kitchen_spatula_old.bmp	new37	1	2	2679	5.0	356	
new	musical_tambourine_new.bmp	new06	1	2	2372	5.0	356	
old	food_cracker02.bmp	old18	1	1	1428	6.0	697	
new	food_bagel01.bmp	new17	1	2	1724	6.0	697	
old	fruit_lemon_new.bmp	old69	1	1	1286	8.0	513	
new	kitchen_garlic press.bmp	new07	1	2	1635	8.0	513	
new	sporting_windsurf.bmp	new31	1	2	2241	8.0	513	
old	musical_drums_old.bmp	old46	0	2	1838	8.0	513	
old	kitchen_apron.bmp	old27	1	1	2452	9.0	497	
old	animal_parrot.bmp	old09	1	1	1300	8.0	415	
old	sporting_karate clothing.bmp	old60	1	1	1382	5.0	374	
new	food_bread.bmp	new28	1	2	3165	5.0	374	
new	vegie_snowpea01.bmp	new27	1	2	1742	5.0	374	
new	vegie_cucumber.bmp	new33	0	1	1047	5.0	332	
new	animal_giraffe.bmp	new03	0	1	1333	5.0	727	
old	kitchen_pitcher.bmp	old34	1	1	1817	5.0	1464	
old	fruit_pineapple_old.bmp	old70	1	1	1268	5.0	753	
new	fruit_granny smith apple.bmp	new16	0	1	1361	8.0	602	
old	kitchen_peppermill.bmp	old33	1	1	2089	6.0	532	
old	animal_monarch_old.bmp	old08	1	1	1558	6.0	414	
old	animal_farm pig.bmp	old05	1	1	1092	5.0	343	
old	kitchen_coffee pot.bmp	old29	0	2	1784	5.0	343	
old	musical_tuba.bmp	old50	1	1	1767	8.0	744	
old	food_chocolatemilk.bmp	old17	1	1	2105	5.0	676	
old	kitchen_big cooking pot.bmp	old28	1	1	1816	5.0	422	
new	vegie_broccoli.bmp	new36	0	1	1508	8.0	1246	
old	musical_harmonica_new.bmp	old47	1	1	1236	8.0	442	
new	sporting_baseball bat_new.bmp	new08	0	1	1854	9.0	507	
new	kitchen_toaster_old.bmp	new30	1	2	1453	9.0	507	
new	kitchen_kettle_new.bmp	new24	0	1	2490	8.0	406	
old	vegie_carrot.bmp	old78	1	1	1227	9.0	433	
new	musical_zamponia windflute.bmp	new29	1	2	1502	9.0	433	
old	animal_frog.bmp	old06	1	1	1297	5.0	380	
old	food_baguette01.bmp	old14	1	1	1436	6.0	505	
old	sporting_americanfootball.bmp	old53	0	2	1859	6.0	505	
old	sporting_fishing rod.bmp	old59	0	2	1672	6.0	505	
old	food_pickle01a.bmp	old22	1	1	1188	5.0	347	
old	sporting_badminton racquet.bmp	old54	1	1	1372	9.0	452	
old	fruit_green grapes.bmp	old68	1	1	1664	8.0	581	
old	animal_dalmation_old.bmp	old04	0	2	2172	8.0	581	
old	food_shellpasta.bmp	old25	1	1	1308	9.0	470	
new	sporting_golf ball.bmp	new19	1	2	2834	9.0	470	
old	kitchen_wooden spoon_old.bmp	old39	1	1	1711	8.0	490	
old	animal_chimpanzee.bmp	old03	1	1	1245	5.0	378	
old	musical_double bass.bmp	old45	1	1	1658	6.0	494	
new	musical_bongo drum.bmp	new23	1	2	1249	6.0	494	
old	sporting_skipping rope.bmp	old63	1	1	1623	6.0	468	
old	vegie_cauliflower.bmp	old72	1	1	1049	9.0	526	
new	food_cookie01.bmp	new11	1	2	2511	9.0	526	
old	musical_acoustic guitar_new.bmp	old42	1	1	1858	5.0	495	
new	musical_uculele_new.bmp	new39	0	1	1593	8.0	616	
old	food_frenchfries.bmp	old20	0	2	3095	8.0	616	
old	kitchen_scrubbing brush.bmp	old36	0	2	1211	8.0	616	
new	animal_seal.bmp	new38	1	2	1329	8.0	616	
old	kitchen_martini glass.bmp	old32	1	1	1178	6.0	370	
new	food_drink.bmp	new05	1	2	1386	6.0	370	
new	animal_gorilla.bmp	new15	1	2	1737	6.0	370	
old	food_softcheese.bmp	old24	1	1	1282	5.0	334	
old	musical_piano_old.bmp	old48	1	1	1752	5.0	401	
new	fruit_apricot_new.bmp	new04	1	2	2375	5.0	401	
new	kitchen_ramekin.bmp	new13	1	2	1799	5.0	401	
old	kitchen_ladle.bmp	old31	1	1	1271	5.0	346	
