	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 4 80 80 41  4  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.        3.        3.        3.3       2.499999  0.        0.
  0.      ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=91855.150'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.012885317
quatern_c	0.9870272
quatern_d	0.15995638
qoffset_x	114.24281
qoffset_y	-84.320175
qoffset_z	-57.668625
srow_x	[-2.9988523e+00  7.1484394e-02 -4.6350602e-02  1.1424281e+02]
srow_y	[ 8.1133500e-02  2.8454874e+00 -1.0415893e+00 -8.4320175e+01]
srow_z	[-1.7403843e-02  9.4767642e-01  3.1309657e+00 -5.7668625e+01]
intent_name	b''
magic	b'n+1'
