	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      9.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.2e+02;Time=115455.240'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.019126179
quatern_c	-0.97133625
quatern_d	-0.23692209
qoffset_x	122.36746
qoffset_y	-74.732376
qoffset_z	-124.73156
srow_x	[-9.3679911e-01 -3.3578236e-02  4.3658823e-02  1.2236746e+02]
srow_y	[-3.6089081e-02  8.3156651e-01 -1.3804599e+00 -7.4732376e+01]
srow_z	[-3.3494025e-03  4.3159699e-01  2.6631560e+00 -1.2473156e+02]
intent_name	b''
magic	b'n+1'
