	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  80  80  41 310   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.        3.        3.        3.3       2.499999  0.        0.
  0.      ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=94702.260'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.0020719657
quatern_c	-0.999633
quatern_d	-0.02610893
qoffset_x	122.184555
qoffset_y	-101.71852
qoffset_z	-59.382057
srow_x	[-2.99968719e+00  1.35111324e-02  4.52922136e-02  1.22184555e+02]
srow_y	[ 1.1343334e-02  2.9958842e+00 -1.7235051e-01 -1.0171852e+02]
srow_z	[ 4.1823857e-02  1.5651007e-01  3.2951889e+00 -5.9382057e+01]
intent_name	b''
magic	b'n+1'
