	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      3.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=10;Time=132549.497;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-1.0251888e-10
quatern_c	-0.9996798
quatern_d	-0.025304575
qoffset_x	123.026634
qoffset_y	-104.44734
qoffset_z	-87.93465
srow_x	[-9.37500000e-01  1.92284438e-10  3.90313345e-17  1.23026634e+02]
srow_y	[ 1.9203825e-10  9.3629938e-01 -1.5177904e-01 -1.0444734e+02]
srow_z	[ 9.7282503e-12  4.7430880e-02  2.9961622e+00 -8.7934647e+01]
intent_name	b''
magic	b'n+1'
