	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 64 64 42  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.5    3.5    3.5    0.444  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=7.4;Time=145659.875;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.017355187
quatern_c	-0.99427885
quatern_d	-0.10538025
qoffset_x	107.473206
qoffset_y	-72.63165
qoffset_z	-97.064896
srow_x	[-3.49786806e+00  1.22148141e-01  1.79279507e-08  1.07473206e+02]
srow_y	[  0.1194344    3.4201565   -0.73366463 -72.63165   ]
srow_z	[ 2.5604535e-02  7.3321801e-01  3.4222395e+00 -9.7064896e+01]
intent_name	b''
magic	b'n+1'
