	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      3.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=10;Time=102816.945;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0006212828
quatern_c	-0.99934065
quatern_d	-0.029659739
qoffset_x	119.60716
qoffset_y	-101.0542
qoffset_z	-73.06528
srow_x	[-9.3667769e-01  8.6241000e-11  1.2562695e-01  1.1960716e+02]
srow_y	[-2.3282745e-03  9.3584985e-01 -1.7776304e-01 -1.0105420e+02]
srow_z	[ 3.9189324e-02  5.5599723e-02  2.9920924e+00 -7.3065277e+01]
intent_name	b''
magic	b'n+1'
