	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  74  74  41 310   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  2.5  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	2
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=25;Time=154315.105;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0056421137
quatern_c	-0.96833384
quatern_d	-0.24862587
qoffset_x	110.49986
qoffset_y	-60.08531
qoffset_z	-104.88426
srow_x	[-2.9969118e+00 -2.7374535e-08  1.4969783e-01  1.1049986e+02]
srow_y	[ -0.06556138   2.62892     -1.5881505  -60.08531   ]
srow_z	[   0.11925564    1.445261      2.888835   -104.88426   ]
intent_name	b''
magic	b'n+1'
