	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      3.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=12;Time=120927.280'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.00018943351
quatern_c	0.9899528
quatern_d	0.14129297
qoffset_x	122.09225
qoffset_y	-100.28902
qoffset_z	-124.96886
srow_x	[-9.3744433e-01 -1.0910403e-03 -3.2505669e-02  1.2209225e+02]
srow_y	[ 1.7942787e-03  9.0006799e-01 -8.3923495e-01 -1.0028902e+02]
srow_z	[-1.0057640e-02  2.6226452e-01  2.8800428e+00 -1.2496886e+02]
intent_name	b''
magic	b'n+1'
