	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 180 256 256   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[1.        1.        1.        1.        0.0072879 0.        0.
 0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=3.3;Time=85849.820'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0006311859
quatern_c	0.018126257
quatern_d	-0.0028286485
qoffset_x	-91.6319
qoffset_y	-109.68611
qoffset_z	-142.14246
srow_x	[ 9.9932843e-01  5.6792260e-03  3.6242835e-02 -9.1631897e+01]
srow_y	[-5.6334706e-03  9.9998319e-01 -1.3647047e-03 -1.0968611e+02]
srow_z	[-3.6250029e-02  1.1596135e-03  9.9934208e-01 -1.4214246e+02]
intent_name	b''
magic	b'n+1'
