	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 64 64 42  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.5    3.5    3.5    0.444  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.9;Time=110656.170;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-1.0001522e-16
quatern_c	-0.9998477
quatern_d	0.017452406
qoffset_x	110.79518
qoffset_y	-89.73796
qoffset_z	-65.52451
srow_x	[-3.5000000e+00  6.9999999e-16  2.4429674e-17  1.1079518e+02]
srow_y	[ 6.9999999e-16  3.4978681e+00  1.2214837e-01 -8.9737961e+01]
srow_z	[  0.          -0.12214825   3.4978714  -65.52451   ]
intent_name	b''
magic	b'n+1'
