	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 80 80 41  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   3.   3.   3.3  0.   0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=0;Time=140521.340'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.008142478
quatern_c	-0.98940885
quatern_d	-0.14415014
qoffset_x	117.74203
qoffset_y	-87.9512
qoffset_z	-98.89549
srow_x	[-2.9982553e+00  6.1296891e-02  9.0098701e-02  1.1774203e+02]
srow_y	[ 3.5377990e-02  2.8749266e+00 -9.4212073e-01 -8.7951202e+01]
srow_z	[ 9.599271e-02  8.550086e-01  3.161378e+00 -9.889549e+01]
intent_name	b''
magic	b'n+1'
