	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      9.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.2e+02;Time=124639.970'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.011654168
quatern_c	0.98858076
quatern_d	0.14876497
qoffset_x	127.2266
qoffset_y	-93.76764
qoffset_z	-77.31489
srow_x	[-9.3641794e-01 -2.7461518e-02 -1.1419838e-01  1.2722660e+02]
srow_y	[-1.5742555e-02  8.9574969e-01 -8.8386601e-01 -9.3767639e+01]
srow_z	[-4.2188484e-02  2.7529004e-01  2.8645663e+00 -7.7314888e+01]
intent_name	b''
magic	b'n+1'
