	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[ 3 80 80 41  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.         3.         3.3        0.4750014  0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.6;Time=124305.300'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.011115717
quatern_c	0.9028305
quatern_d	0.42974946
qoffset_x	123.72318
qoffset_y	-34.22065
qoffset_z	-146.89587
srow_x	[-2.9987249e+00  3.5897817e-02 -8.7719679e-02  1.2372318e+02]
srow_y	[  0.08452948   1.891151    -2.560045   -34.22065   ]
srow_z	[-2.2421587e-02  2.3285744e+00  2.0804920e+00 -1.4689587e+02]
intent_name	b''
magic	b'n+1'
