	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  3 128 128  70   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.   2.   2.   2.   9.4  0.   0.   0. ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=96;Time=150340.337;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	1.0036879e-16
quatern_c	-0.99627036
quatern_d	-0.086286366
qoffset_x	129.46281
qoffset_y	-102.39108
qoffset_z	-89.01912
srow_x	[-2.0000000e+00 -4.0000001e-16  6.8771770e-17  1.2946281e+02]
srow_y	[-4.0000001e-16  1.9702187e+00 -3.4385884e-01 -1.0239108e+02]
srow_z	[  0.          0.3438582   1.9702222 -89.01912  ]
intent_name	b''
magic	b'n+1'
