	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4 128 128  70  33   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.        2.        2.        2.        9.969967  0.        0.
  0.      ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.1e+02;Time=115106.330'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.025208663
quatern_c	-0.9949457
quatern_d	-0.096571386
qoffset_x	122.95307
qoffset_y	-128.77173
qoffset_z	-66.76359
srow_x	[-1.9969722e+00  1.0458261e-01  3.4127057e-02  1.2295307e+02]
srow_y	[ 9.6067406e-02  1.9601539e+00 -3.8544488e-01 -1.2877173e+02]
srow_z	[ 5.3602513e-02  3.8322178e-01  1.9622116e+00 -6.6763588e+01]
intent_name	b''
magic	b'n+1'
