	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      9.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1.2e+02;Time=101747.260'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.006364756
quatern_c	-0.9997687
quatern_d	-0.02053362
qoffset_x	121.60688
qoffset_y	-108.286285
qoffset_z	-43.53018
srow_x	[-9.3742329e-01  1.1955926e-02  3.0750744e-03  1.2160688e+02]
srow_y	[ 1.19063873e-02  9.36633468e-01 -1.23197764e-01 -1.08286285e+02]
srow_z	[ 1.4510540e-03  3.8483955e-02  2.9974670e+00 -4.3530182e+01]
intent_name	b''
magic	b'n+1'
