	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 80 80 41  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.         3.         3.3        0.4750014  0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=4.6;Time=125557.760'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0014673407
quatern_c	0.9438734
quatern_d	0.33026
qoffset_x	120.92499
qoffset_y	-69.589676
qoffset_z	-149.75922
srow_x	[-2.9998121e+00 -2.3891872e-03 -3.6833916e-02  1.2092499e+02]
srow_y	[ 1.9008994e-02  2.3455570e+00 -2.0573282e+00 -6.9589676e+01]
srow_z	[-2.7670059e-02  1.8703895e+00  2.5799398e+00 -1.4975922e+02]
intent_name	b''
magic	b'n+1'
