	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  64  64  40 300   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.5        3.5        3.5        2.1100001  0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=30;Time=104725.500'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.0020360386
quatern_c	-0.9943432
quatern_d	-0.106036045
qoffset_x	114.04569
qoffset_y	-87.2912
qoffset_z	-68.69521
srow_x	[-3.4997344e+00  1.8486124e-02  3.8947340e-02  1.1404569e+02]
srow_y	[ 9.8571740e-03  3.4212656e+00 -7.3813653e-01 -8.7291199e+01]
srow_z	[ 4.1969843e-02  7.3797077e-01  3.4210587e+00 -6.8695213e+01]
intent_name	b''
magic	b'n+1'
