	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4 128 128  70  33   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.        2.        2.        2.       10.003868  0.        0.
  0.      ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1e+02;Time=103953.250'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.0020360386
quatern_c	-0.9943432
quatern_d	-0.106036045
qoffset_x	130.69759
qoffset_y	-103.553345
qoffset_z	-73.16113
srow_x	[-1.9998482e+00  1.0563499e-02  2.2255668e-02  1.3069759e+02]
srow_y	[ 5.63267060e-03  1.95500886e+00 -4.21793133e-01 -1.03553345e+02]
srow_z	[ 2.3982767e-02  4.2169759e-01  1.9548945e+00 -7.3161133e+01]
intent_name	b''
magic	b'n+1'
