	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	54
dim	[  3 256 256  48   1   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.      0.9375  0.9375  3.      3.      0.      0.      0.    ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=1e+02;Time=102537.730'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	-0.002974091
quatern_c	0.9998526
quatern_d	0.01110906
qoffset_x	126.33489
qoffset_y	-107.72574
qoffset_z	-28.208523
srow_x	[-9.3717861e-01 -5.8411695e-03 -7.6288968e-02  1.2633489e+02]
srow_y	[-5.3100279e-03  9.3725199e-01 -6.6872023e-02 -1.0772574e+02]
srow_z	[-2.3964208e-02  2.0755315e-02  2.9982834e+00 -2.8208523e+01]
intent_name	b''
magic	b'n+1'
