	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[ 3 74 74 45  1  1  1  1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	[-1.     3.     3.     3.3    0.476  0.     0.     0.   ]
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=7.4;Time=141600.670;phase=1'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.0062884367
quatern_c	-0.9703838
quatern_d	-0.24014571
qoffset_x	113.70314
qoffset_y	-54.524857
qoffset_z	-111.4863
srow_x	[-2.9958885e+00  8.9940775e-09  1.7270872e-01  1.1370314e+02]
srow_y	[ -0.07322637   2.6537428   -1.5369672  -54.524857  ]
srow_z	[   0.13888618    1.3991599     2.9151177  -111.4863    ]
intent_name	b''
magic	b'n+1'
