	0
sizeof_hdr	348
data_type	b''
db_name	b''
extents	0
session_error	0
regular	b'r'
dim_info	57
dim	[  4  64  64  40 300   1   1   1]
intent_p1	0.0
intent_p2	0.0
intent_p3	0.0
intent_code	0
datatype	4
bitpix	16
slice_start	0
pixdim	"[-1.         3.5        3.5        3.5        2.1100001  0.
  0.         0.       ]"
vox_offset	0.0
scl_slope	nan
scl_inter	nan
slice_end	0
slice_code	0
xyzt_units	10
cal_max	0.0
cal_min	0.0
slice_duration	0.0
toffset	0.0
glmax	0
glmin	0
descrip	b'TE=30;Time=92440.590'
aux_file	b''
qform_code	1
sform_code	1
quatern_b	0.02043938
quatern_c	-0.9981388
quatern_d	-0.05706999
qoffset_x	113.89906
qoffset_y	-82.5054
qoffset_z	-47.228077
srow_x	[-3.4967661e+00 -1.4015242e-01  5.4634634e-02  1.1389906e+02]
srow_y	[ -0.14546631   3.4742768   -0.39779478 -82.5054    ]
srow_z	[ 3.8303986e-02  3.9969799e-01  3.4768910e+00 -4.7228077e+01]
intent_name	b''
magic	b'n+1'
