trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	CorrectSource	Stim_RT	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
40	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	6.0	0.812	219.629	3.0	222.638	0.5	CTL13	7.021999999999991	3.510999999999996	3.510999999999996	226.651	0.0	3.510999999999996	3.510999999999996	222.638
47	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	6.0	1.021	268.658	3.0	271.66700000000003	2.5	CTL14	7.020000000000039	3.509999999999991	3.510000000000048	275.67800000000005	0.0	3.509999999999991	3.510000000000048	271.66700000000003
52	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	6.0	0.655	303.67900000000003	3.0	306.688	4.0	CTL15	12.00200000000001	6.001000000000033	6.000999999999976	315.68100000000004	0.0	6.001000000000033	6.000999999999976	306.688
53	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	9.0	0.8190000000000001	310.683	3.0	313.692	6.5	CTL16	14.00799999999998	7.003999999999962	7.004000000000019	324.691	0.0	7.003999999999962	7.004000000000019	313.692
57	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	8.0	0.7490000000000001	350.70300000000003	3.0	353.712	1.0	CTL17	25.00799999999998	12.50400000000002	12.503999999999962	375.711	0.0	12.50400000000002	12.503999999999962	353.712
61	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	9.0	1.023	371.732	3.0	374.741	2.0	CTL18	8.024000000000001	4.0120000000000005	4.0120000000000005	379.756	0.0	4.0120000000000005	4.0120000000000005	374.741
64	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	8.0	0.745	387.73	3.0	390.739	0.5	CTL19	8.993999999999971	4.497000000000014	4.496999999999957	396.724	0.0	4.497000000000014	4.496999999999957	390.739
65	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	5.0	0.715	391.24	3.0	394.249	2.5	CTL20	7.020000000000039	3.509999999999991	3.510000000000048	398.2600000000001	0.0	3.509999999999991	3.510000000000048	394.249
66	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	5.0	0.535	396.74	3.0	399.749	0.5	CTL21	11.0	5.5	5.5	407.74	0.0	5.5	5.5	399.749
67	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	8.0	0.688	400.25	3.0	403.259	2.5	CTL22	7.019999999999982	3.509999999999991	3.509999999999991	407.27	0.0	3.509999999999991	3.509999999999991	403.259
