	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	11.562	3.0	14.562	5.5	False	CTL01
1	20.061	3.0	23.061	0.5	Old56	Enc01
2	23.561	3.0	26.561	1.0	Old01	Enc02
3	27.56	3.0	30.56	1.0	Old22	Enc03
4	31.56	3.0	34.56	1.5	Old67	Enc04
5	36.06	3.0	39.059	2.0	Old61	Enc05
6	41.059	3.0	44.059	3.0	Old46	Enc06
7	47.059	3.0	50.058	0.5	False	CTL02
8	50.558	3.0	53.558	4.0	False	CTL03
9	57.558	3.0	60.558	2.5	Old28	Enc07
10	63.057	3.0	66.057	1.5	False	CTL04
11	67.557	3.0	70.557	2.0	Old48	Enc08
12	72.556	3.0	75.556	3.5	Old15	Enc09
13	79.056	3.0	82.056	0.5	False	CTL05
14	82.556	3.0	85.555	2.5	Old39	Enc10
15	88.055	3.0	91.055	0.5	Old07	Enc11
16	91.555	3.0	94.555	1.0	Old21	Enc12
17	95.554	3.0	98.554	1.5	Old68	Enc13
18	100.054	3.0	103.054	2.5	Old26	Enc14
19	105.554	3.0	108.553	3.0	Old35	Enc15
20	111.553	3.0	114.553	1.0	Old34	Enc16
21	115.553	3.0	118.552	1.5	Old25	Enc17
22	120.052	3.0	123.052	1.5	False	CTL06
23	124.552	3.0	127.552	1.0	Old03	Enc18
24	128.551	3.0	131.551	2.5	Old41	Enc19
25	134.051	3.0	137.051	2.5	False	CTL07
26	139.55	3.0	142.55	0.5	Old77	Enc20
27	143.05	3.0	146.05	5.5	Old60	Enc21
28	151.549	3.0	154.549	5.5	Old73	Enc22
29	160.049	3.0	163.048	2.0	Old08	Enc23
30	165.048	3.0	168.048	1.0	Old06	Enc24
31	169.048	3.0	172.048	3.0	Old51	Enc25
32	175.047	3.0	178.047	3.5	Old54	Enc26
33	181.547	3.0	184.546	0.5	False	CTL08
34	185.046	3.0	188.046	1.5	False	CTL09
35	189.546	3.0	192.546	9.5	False	CTL10
36	202.045	3.0	205.045	2.0	False	CTL11
37	207.044	3.0	210.044	2.0	Old40	Enc27
38	212.044	3.0	215.044	1.0	False	CTL12
39	216.044	3.0	219.043	0.5	Old17	Enc28
40	219.543	3.0	222.543	0.5	False	CTL13
41	223.043	3.0	226.043	2.0	Old33	Enc29
42	228.043	3.0	231.042	4.5	Old58	Enc30
43	235.542	3.0	238.542	3.5	Old10	Enc31
44	242.041	3.0	245.041	8.0	Old70	Enc32
45	253.04	3.0	256.04	9.0	Old24	Enc33
46	265.039	3.0	268.039	0.5	Old20	Enc34
47	268.539	3.0	271.539	2.5	False	CTL14
48	274.038	3.0	277.038	8.5	Old66	Enc35
49	285.537	3.0	288.537	0.5	Old13	Enc36
50	289.037	3.0	292.037	5.5	Old02	Enc37
51	297.536	3.0	300.536	3.0	Old52	Enc38
52	303.536	3.0	306.536	4.0	False	CTL15
53	310.535	3.0	313.535	6.5	False	CTL16
54	320.034	3.0	323.034	0.5	Old62	Enc39
55	323.534	3.0	326.534	11.0	Old65	Enc40
56	338.033	3.0	341.032	9.5	Old76	Enc41
57	350.532	3.0	353.531	1.0	False	CTL17
58	354.531	3.0	357.531	5.5	Old63	Enc42
59	363.03	3.0	366.03	1.5	Old23	Enc43
60	367.53	3.0	370.53	1.0	Old30	Enc44
61	371.53	3.0	374.529	2.0	False	CTL18
62	376.529	3.0	379.529	3.5	Old19	Enc45
63	383.029	3.0	386.028	1.5	Old27	Enc46
64	387.528	3.0	390.528	0.5	False	CTL19
65	391.028	3.0	394.028	2.5	False	CTL20
66	396.527	3.0	399.527	0.5	False	CTL21
67	400.027	3.0	403.027	2.5	False	CTL22
68	405.527	3.0	408.526	2.0	False	CTL23
69	410.526	3.0	413.526	11.0	False	CTL24
70	424.525	3.0	427.525	1.0	Old38	Enc47
71	428.525	3.0	431.524	1.5	Old12	Enc48
72	433.024	3.0	436.024	0.5	Old50	Enc49
73	436.524	3.0	439.524	0.5	Old47	Enc50
74	440.024	3.0	443.023	2.0	Old11	Enc51
75	445.023	3.0	448.023	1.0	False	CTL25
76	449.023	3.0	452.023	2.0	False	CTL26
77	454.022	3.0	457.022	4.0	Old42	Enc52
78	461.022	3.0	464.021	4.5	Old53	Enc53
79	468.521	3.0	471.521	8.5	Old45	Enc54
80	480.02	3.0	483.02	1.0	Old55	Enc55
81	484.02	3.0	487.019	6.0	False	CTL27
82	493.019	3.0	496.019	1.5	Old31	Enc56
83	497.518	3.0	500.518	13.0	False	CTL28
84	513.5169999999999	3.0	516.5169999999999	1.5	Old57	Enc57
85	518.0169999999999	3.0	521.016	1.5	Old75	Enc58
86	522.516	3.0	525.516	7.5	Old59	Enc59
87	533.015	3.0	536.015	1.5	False	CTL29
88	537.515	3.0	540.515	3.5	Old64	Enc60
89	544.014	3.0	547.014	1.0	False	CTL30
90	548.014	3.0	551.014	1.5	Old05	Enc61
91	552.514	3.0	555.513	3.5	False	CTL31
92	559.013	3.0	562.013	4.5	Old32	Enc62
93	566.512	3.0	569.512	3.0	False	CTL32
94	572.512	3.0	575.511	0.5	Old74	Enc63
95	576.011	3.0	579.011	8.0	Old78	Enc64
96	587.011	3.0	590.01	5.0	False	CTL33
97	595.01	3.0	598.009	0.5	False	CTL34
98	598.509	3.0	601.509	1.0	Old72	Enc65
99	602.509	3.0	605.509	11.0	Old69	Enc66
100	617.008	3.0	620.008	2.5	False	CTL35
101	622.507	3.0	625.507	2.0	Old09	Enc67
102	627.507	3.0	630.507	0.5	Old04	Enc68
103	631.006	3.0	634.006	1.0	Old29	Enc69
104	635.006	3.0	638.006	1.0	Old44	Enc70
105	639.006	3.0	642.006	0.5	Old37	Enc71
106	642.505	3.0	645.505	7.5	False	CTL36
107	653.005	3.0	656.0039999999999	15.0	Old18	Enc72
108	671.003	3.0	674.003	0.5	Old71	Enc73
109	674.503	3.0	677.502	1.0	False	CTL37
110	678.502	3.0	681.502	0.5	False	CTL38
111	682.002	3.0	685.002	9.0	Old49	Enc74
112	694.0010000000001	3.0	697.0010000000001	6.0	Old43	Enc75
113	703.0	3.0	706.0	10.0	False	CTL39
114	716.4989999999999	3.0	719.4989999999999	5.0	Old14	Enc76
115	724.498	3.0	727.498	1.0	Old36	Enc77
116	728.498	3.0	731.498	18.0	Old16	Enc78
