0	1	2	3	4	5	6	7	8	stim_resp	stim_rt	stim_acc
1	enc	enc00		encoding	0.069	fixation	3.069	4.5		0	1
2	enc	enc000		encoding	7.568	fixation	10.568	0.5		0	1
3	ctl	ctl0		control	11.068	fixation	14.068	0.5		0	1
4	enc	enc01	old55	encoding	14.568	fixation	17.567	6.5		0	1
5	enc	enc02	old05	encoding	24.067	fixation	27.066	2.0		0	1
6	enc	enc03	old23	encoding	29.066	fixation	32.066	1.5		0	1
7	enc	enc04	old74	encoding	33.566	fixation	36.566	1.0		0	1
8	enc	enc05	old56	encoding	37.565	fixation	40.565	8.5		0	1
9	enc	enc06	old42	encoding	49.064	fixation	52.064	2.0		0	1
10	enc	enc07	old35	encoding	54.064	fixation	57.064	2.5		0	1
11	ctl	ctl01		control	59.563	fixation	62.563	1.5		0	1
12	ctl	ctl02		control	64.063	fixation	67.063	1.5		0	1
13	enc	enc08	old46	encoding	68.562	fixation	71.562	0.5		0	1
14	ctl	ctl03		control	72.062	fixation	75.062	0.5		0	1
15	enc	enc09	old16	encoding	75.562	fixation	78.562	2.0		0	1
16	enc	enc10	old34	encoding	80.561	fixation	83.561	1.5		0	1
17	ctl	ctl04		control	85.061	fixation	88.061	2.0		0	1
18	enc	enc11	old12	encoding	90.06	fixation	93.06	7.5		0	1
19	enc	enc12	old22	encoding	100.559	fixation	103.559	5.0		0	1
20	enc	enc13	old66	encoding	108.559	fixation	111.558	1.5		0	1
21	enc	enc14	old14	encoding	113.058	fixation	116.058	3.0		0	1
22	enc	enc15	old36	encoding	119.058	fixation	122.057	1.0		0	1
23	enc	enc16	old33	encoding	123.057	fixation	126.057	1.5		0	1
24	enc	enc17	old18	encoding	127.557	fixation	130.557	8.5		0	1
25	enc	enc18	old03	encoding	139.056	fixation	142.056	2.0		0	1
26	ctl	ctl05		control	144.055	fixation	147.055	1.0		0	1
27	ctl	ctl06		control	148.055	fixation	151.055	1.5		0	1
28	enc	enc19	old40	encoding	152.555	fixation	155.554	6.5		0	1
29	enc	enc20	old76	encoding	162.054	fixation	165.053	1.5		0	1
30	enc	enc21	old53	encoding	166.553	fixation	169.553	6.5		0	1
31	ctl	ctl07		control	176.052	fixation	179.052	3.5		0	1
32	enc	enc22	old71	encoding	182.552	fixation	185.552	8.0		0	1
33	enc	enc23	old13	encoding	193.551	fixation	196.551	13.0		0	1
34	ctl	ctl08		control	209.549	fixation	212.549	1.0		0	1
35	enc	enc24	old08	encoding	213.549	fixation	216.549	2.5		0	1
36	enc	enc25	old41	encoding	219.048	fixation	222.048	1.5		0	1
37	enc	enc26	old62	encoding	223.548	fixation	226.548	3.5		0	1
38	enc	enc27	old43	encoding	230.047	fixation	233.047	2.0		0	1
39	enc	enc28	old24	encoding	235.047	fixation	238.047	3.0		0	1
40	enc	enc29	old28	encoding	241.046	fixation	244.046	7.0		0	1
41	enc	enc30	old65	encoding	251.045	fixation	254.045	1.0		0	1
42	ctl	ctl09		control	255.045	fixation	258.045	0.5		0	1
43	ctl	ctl10		control	258.545	fixation	261.544	1.0		0	1
44	enc	enc31	old09	encoding	262.544	fixation	265.544	0.5		0	1
45	enc	enc32	old78	encoding	266.044	fixation	269.044	7.0		0	1
46	enc	enc33	old26	encoding	276.043	fixation	279.043	4.0		0	1
47	enc	enc34	old21	encoding	283.042	fixation	286.042	2.0		0	1
48	ctl	ctl11		control	288.042	fixation	291.042	2.5		0	1
49	enc	enc35	old69	encoding	293.541	fixation	296.541	4.5		0	1
50	enc	enc36	old06	encoding	301.041	fixation	304.041	0.5		0	1
51	ctl	ctl12		control	304.54	fixation	307.54	3.0		0	1
