0	1	2	3	4	5	6	7	8	stim_resp	stim_rt	stim_acc
82	enc	enc55	old30	encoding	511.048	fixation	514.048	1.5	3.0	977	0
83	enc	enc56	old36	encoding	515.547	fixation	518.547	4.0	3.0	775	0
84	ctl	ctl25		control	522.547	fixation	525.547	5.0		0	1
85	enc	enc57	old74	encoding	530.546	fixation	533.546	7.5	3.0	922	0
86	ctl	ctl26		control	541.045	fixation	544.045	1.0		0	1
87	ctl	ctl27		control	545.045	fixation	548.045	1.5	3.0	758	0
88	enc	enc58	old18	encoding	549.545	fixation	552.545	0.5	3.0	834	0
89	enc	enc59	old66	encoding	553.045	fixation	556.044	1.5	3.0	874	0
90	enc	enc60	old50	encoding	557.544	fixation	560.544	2.0		0	1
91	ctl	ctl28		control	562.544	fixation	565.544	1.0	3.0	1301	0
92	ctl	ctl29		control	566.543	fixation	569.543	5.0	3.0	1125	0
93	ctl	ctl30		control	574.543	fixation	577.543	2.0	3.0	681	0
94	ctl	ctl31		control	579.542	fixation	582.542	5.5	3.0	851	0
95	enc	enc61	old33	encoding	588.042	fixation	591.042	0.5	3.0	1471	0
96	ctl	ctl32		control	591.541	fixation	594.541	8.0	3.0	2189	0
97	enc	enc62	old64	encoding	602.541	fixation	605.54	1.0	3.0	2354	0
98	ctl	ctl33		control	606.54	fixation	609.54	0.5	3.0	862	0
99	enc	enc63	old10	encoding	610.04	fixation	613.04	3.5	3.0	822	0
100	enc	enc64	old04	encoding	616.54	fixation	619.539	1.5	3.0	614	0
101	enc	enc65	old65	encoding	621.039	fixation	624.039	2.5	3.0	611	0
102	enc	enc66	old76	encoding	626.539	fixation	629.539	9.5	3.0	592	0
103	enc	enc67	old57	encoding	639.038	fixation	642.038	0.5		0	1
104	ctl	ctl34		control	642.537	fixation	645.537	1.0		0	1
105	enc	enc68	old32	encoding	646.537	fixation	649.537	3.0		0	1
106	enc	enc69	old11	encoding	652.537	fixation	655.536	1.0	3.0	994	0
107	ctl	ctl35		control	656.536	fixation	659.536	2.0	3.0	1178	0
108	ctl	ctl36		control	661.536	fixation	664.536	0.5	3.0	1075	0
109	enc	enc70	old60	encoding	665.036	fixation	668.036	2.0	3.0	785	0
110	ctl	ctl37		control	670.035	fixation	673.035	8.5	3.0	679	0
111	enc	enc71	old41	encoding	681.534	fixation	684.534	1.5		0	1
112	enc	enc72	old05	encoding	686.034	fixation	689.034	1.0	3.0	488	0
113	enc	enc73	old52	encoding	690.034	fixation	693.034	1.0	3.0	956	0
114	enc	enc74	old22	encoding	694.033	fixation	697.033	4.0	3.0	804	0
115	enc	enc75	old71	encoding	701.033	fixation	704.033	9.5		0	1
116	ctl	ctl38		control	713.532	fixation	716.532	4.5	3.0	904	0
117	ctl	ctl39		control	721.031	fixation	724.031	0.5	3.0	780	0
118	enc	enc76	old53	encoding	724.531	fixation	727.531	4.0	3.0	704	0
119	enc	enc77	old34	encoding	731.531	fixation	734.53	1.0	3.0	596	0
120	enc	enc78	old23	encoding	735.53	fixation	738.53	11.5		0	1
