	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	OLD	vegie_mushroom.bmp	Old76	1	1	4.6819999999999995	9	1870	1	6	1.7630000000000001
1	New	kitchen_spatula_old.bmp	New37	1	2	9.943999999999999	9	1870	1	5	1.265
2	OLD	musical_violin_old.bmp	Old51	1	1	3.533	8	847	1	6	1.6130000000000002
3	New	vegie_snowpea01.bmp	New27	1	2	1.5630000000000002	8	847	1	9	1.0490000000000002
4	New	animal_giraffe.bmp	New03	1	2	1.265	8	847	1	8	1.2830000000000001
5	OLD	kitchen_pitcher.bmp	Old34	1	1	2.414	6	477	1	9	1.1420000000000001
6	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.663	8	612	1	8	1.531
7	OLD	animal_farm pig.bmp	Old05	1	1	2.3369999999999997	9	626	0	8	0.735
8	New	fruit_cherry.bmp	Old67	0	2	1.87	9	626	0	5	0.625
9	New	musical_bongo drum.bmp	New23	1	2	1.393	9	626	1	6	2.064
10	OLD	vegie_cauliflower.bmp	Old72	1	1	1.806	8	605	0	6	0.955
11	OLD	food_softcheese.bmp	Old24	1	1	1.578	9	554	1	5	1.2329999999999999
12	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	2.122	8	548	1	6	1.558
13	OLD	musical_harmonica_new.bmp	Old47	0	2	2.6210000000000004	8	548	0	8	0.531
14	OLD	musical_xylophone_old.bmp	Old52	0	2	1.161	8	548	1	6	1.197
15	OLD	sporting_skipping rope.bmp	Old63	1	1	7.706	6	3711	1	8	0.899
16	OLD	sporting_rollerblade.bmp	Old62	1	1	1.4809999999999999	9	717	1	5	0.971
17	OLD	food_candy.bmp	Old16	1	1	1.5330000000000001	5	607	1	9	2.01
18	New	kitchen_kettle_new.bmp	New24	1	2	1.636	5	607	1	9	1.163
19	New	food_bagel01.bmp	New17	1	2	1.869	5	607	1	5	0.621
20	OLD	animal_parrot.bmp	Old09	1	1	2.303	8	506	1	5	1.624
21	OLD	animal_sheep.bmp	Old11	1	1	2.8360000000000003	6	1098	1	5	1.304
