trial_num	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1	onset	stimDurSec	fixOnsetSec	fixlen	trial_type	CorrectSource	Stim_RT	duration	isi	isiFix	trial_end	unscanned	stimDur	fixDur	fixcross
7	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	47.103	3.0	50.103	0.5	CTL02	5.0	0.6509999999999999	12.0	6.0	6.0	59.103	0.0	6.0	6.0	50.103
8	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	50.603	3.0	53.619	4.0	CTL03	6.0	0.948	7.015999999999998	3.5	3.5159999999999982	57.619	0.0	3.5	3.5159999999999982	53.619
10	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	10.0	63.101000000000006	3.0	66.101	1.5	CTL04	8.0	0.79	10.998000000000012	5.499000000000009	5.499000000000002	74.09900000000002	0.0	5.499000000000009	5.499000000000002	66.101
13	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	13.0	79.1	3.0	82.1	0.5	CTL05	8.0	0.718	12.978999999999983	6.495999999999995	6.48299999999999	92.07899999999998	0.0	6.495999999999995	6.48299999999999	82.1
22	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	22.0	120.113	3.0	123.113	1.5	CTL06	5.0	0.957	9.0	4.5	4.5	129.113	0.0	4.5	4.5	123.113
25	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	25.0	134.112	3.0	137.111	2.5	CTL07	5.0	0.826	10.998999999999995	5.5	5.498999999999995	145.111	0.0	5.5	5.498999999999995	137.111
33	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	33.0	181.607	3.0	184.607	0.5	CTL08	6.0	0.688	12.99799999999999	6.498999999999995	6.498999999999995	194.605	0.0	6.498999999999995	6.498999999999995	184.607
34	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	34.0	185.107	3.0	188.107	1.5	CTL09	9.0	1.221	7.0	3.5	3.5	192.107	0.0	3.5	3.5	188.107
35	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	35.0	189.607	3.0	192.607	9.5	CTL10	8.0	0.642	9.0	4.5	4.5	198.607	0.0	4.5	4.5	192.607
36	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	36.0	202.106	3.0	205.105	2.0	CTL11	5.0	0.767	24.996999999999986	12.498999999999995	12.49799999999999	227.103	0.0	12.498999999999995	12.49799999999999	205.105
38	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	38.0	212.105	3.0	215.104	1.0	CTL12	9.0	0.799	9.999000000000024	5.0	4.999000000000024	222.104	0.0	5.0	4.999000000000024	215.104
40	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	40.0	219.604	3.0	222.604	0.5	CTL13	6.0	0.6759999999999999	7.0	3.5	3.5	226.604	0.0	3.5	3.5	222.604
47	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	47.0	268.6	3.0	271.599	2.5	CTL14	6.0	0.0	6.998999999999967	3.5	3.498999999999967	275.599	0.0	3.5	3.498999999999967	271.599
52	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	52.0	303.597	3.0	306.597	4.0	CTL15	6.0	0.631	12.0	6.0	6.0	315.597	0.0	6.0	6.0	306.597
53	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	53.0	310.596	3.0	313.596	6.5	CTL16	9.0	0.695	13.998000000000047	6.999000000000024	6.999000000000024	324.59400000000005	0.0	6.999000000000024	6.999000000000024	313.596
57	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	57.0	350.592	3.0	353.592	1.0	CTL17	8.0	0.831	24.997999999999934	12.498999999999969	12.498999999999969	375.5899999999999	0.0	12.498999999999969	12.498999999999969	353.592
61	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	61.0	371.607	3.0	374.607	2.0	CTL18	9.0	1.587	7.999000000000024	3.999000000000024	4.0	379.6060000000001	0.0	3.999000000000024	4.0	374.607
64	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	64.0	387.606	3.0	390.605	0.5	CTL19	8.0	0.675	8.999000000000024	4.5	4.499000000000024	396.605	0.0	4.5	4.499000000000024	390.605
65	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	65.0	391.105	3.0	394.105	2.5	CTL20	5.0	0.615	6.999000000000024	3.499000000000024	3.5	398.104	0.0	3.499000000000024	3.5	394.105
66	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	66.0	396.605	3.0	399.605	0.5	CTL21	5.0	0.8	11.0	5.5	5.5	407.605	0.0	5.5	5.5	399.605
67	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	67.0	400.105	3.0	403.104	2.5	CTL22	8.0	0.753	6.998999999999967	3.5	3.498999999999967	407.104	0.0	3.5	3.498999999999967	403.104
