	Condition	CorrectSource	Stim_RT	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
73	1	8	1.765	457.231	3.0	460.24	5.5	Old73	Enc52
74	0	9	0.769	465.73900000000003	3.0	468.74800000000005	2.5	False	CTL23
75	1	9	1.805	471.23900000000003	3.0	474.24800000000005	1.5	Old26	Enc53
76	0	6	0.988	475.736	3.0	478.745	0.5	False	CTL24
77	1	5	2.261	479.24699999999996	3.0	482.256	3.0	Old68	Enc54
78	1	8	2.492	485.24800000000005	3.0	488.25699999999983	3.5	Old35	Enc55
79	1	5	2.588	491.751	3.0	494.76	7.5	Old32	Enc56
80	1	6	2.09	502.249	3.0	505.25800000000004	2.5	Old47	Enc57
81	0	6	0.0	507.74800000000005	3.0	510.75699999999983	0.5	False	CTL25
82	1	5	2.888	511.259	3.0	514.268	1.0	Old24	Enc58
83	1	6	2.78	515.271	3.0	518.28	4.0	Old52	Enc59
84	1	8	2.488	522.275	3.0	525.284	11.0	Old69	Enc60
85	0	6	1.0490000000000002	536.785	3.0	539.794	0.5	False	CTL26
86	0	9	0.898	540.2959999999998	3.0	543.305	4.0	False	CTL27
87	0	5	0.774	547.3	3.0	550.309	0.5	False	CTL28
88	1	5	2.512	550.81	3.0	553.819	2.5	Old31	Enc61
89	1	5	1.7719999999999998	556.31	3.0	559.319	3.0	Old58	Enc62
90	0	8	2.0909999999999997	562.311	3.0	565.32	1.0	False	CTL29
91	1	5	2.399	566.307	3.0	569.316	2.0	Old10	Enc63
92	1	9	2.944	571.305	3.0	574.314	0.5	Old13	Enc64
93	0	9	1.3780000000000001	574.815	3.0	577.8240000000002	7.0	False	CTL30
94	1	9	2.4530000000000003	584.812	3.0	587.821	0.5	Old63	Enc65
95	1	5	2.239	588.322	3.0	591.331	0.5	Old49	Enc66
96	0	6	0.0	591.8330000000002	3.0	594.842	0.5	False	CTL31
97	0	5	0.69	595.3430000000002	3.0	598.352	1.5	False	CTL32
98	1	8	1.913	599.84	3.0	602.849	3.0	Old62	Enc67
99	1	6	1.368	605.841	3.0	608.85	1.5	Old38	Enc68
100	0	5	1.8940000000000001	610.3380000000002	3.0	613.347	4.5	False	CTL33
101	0	8	0.804	617.844	3.0	620.8530000000002	0.5	False	CTL34
102	1	6	1.95	621.354	3.0	624.363	8.0	Old11	Enc69
103	1	5	1.814	632.354	3.0	635.363	1.0	Old65	Enc70
104	0	8	0.7859999999999999	636.366	3.0	639.375	4.5	False	CTL35
105	0	6	0.68	643.872	3.0	646.881	2.0	False	CTL36
106	1	6	2.234	648.87	3.0	651.879	1.0	Old71	Enc71
107	1	8	2.133	652.882	3.0	655.8910000000002	2.0	Old06	Enc72
108	0	5	1.399	657.88	3.0	660.8889999999999	2.0	False	CTL37
109	0	8	0.728	662.8789999999998	3.0	665.888	10.0	False	CTL38
110	1	9	1.819	675.8839999999999	3.0	678.893	3.5	Old74	Enc73
111	1	8	2.6839999999999997	682.387	3.0	685.3960000000002	9.0	Old21	Enc74
112	0	9	0.769	694.3889999999999	3.0	697.398	0.5	False	CTL39
113	1	9	1.538	697.9	3.0	700.909	7.0	Old51	Enc75
114	1	6	2.246	707.8960000000002	3.0	710.905	12.0	Old54	Enc76
115	1	5	2.437	723.393	3.0	726.4019999999998	2.5	Old29	Enc77
116	1	6	1.993	728.8919999999998	3.0	731.9010000000002	18.0	Old22	Enc78
