	Condition	CorrectSource	Stim_RT
0	CTL	6	0.956
1	Enc	8	0.852
2	Enc	5	0.705
3	Enc	5	0.886
4	Enc	6	0.963
5	Enc	5	0.959
6	Enc	9	0.748
7	CTL	5	0.734
8	CTL	6	0.536
9	CTL	6	0.557
10	CTL	9	0.627
11	Enc	6	0.73
12	Enc	8	0.873
13	CTL	9	0.616
14	Enc	9	0.663
15	Enc	5	0.692
16	Enc	9	0.686
17	Enc	5	0.538
18	Enc	8	0.681
19	Enc	8	0.734
20	Enc	9	0.525
21	Enc	8	0.785
22	Enc	5	0.973
23	CTL	5	0.465
24	CTL	8	0.965
25	Enc	8	0.443
26	Enc	8	0.641
27	Enc	5	1.133
28	Enc	9	0.556
29	Enc	9	0.508
30	CTL	8	0.724
31	Enc	6	0.52
32	CTL	9	0.468
33	Enc	8	0.509
34	Enc	8	0.469
35	Enc	9	0.439
36	Enc	5	0.608
37	Enc	6	0.762
38	Enc	9	0.419
39	Enc	8	0.704
40	Enc	6	0.588
41	Enc	6	0.58
42	CTL	6	0.47
43	Enc	9	0.788
44	Enc	8	0.91
45	CTL	6	0.526
46	Enc	9	0.62
47	Enc	8	0.77
48	Enc	9	0.668
49	Enc	6	0.719
50	Enc	5	0.939
51	CTL	5	0.522
52	Enc	6	0.474
53	CTL	9	0.989
54	CTL	8	0.475
55	CTL	9	0.428
56	Enc	6	0.566
57	Enc	8	0.581
58	Enc	9	0.476
59	Enc	5	0.784
60	Enc	6	0.745
61	Enc	9	0.606
62	CTL	8	0.521
63	Enc	6	0.477
64	Enc	9	0.796
65	CTL	5	0.655
66	CTL	5	0.478
67	Enc	6	0.686
68	CTL	8	0.589
69	CTL	9	0.586
70	Enc	8	0.516
71	Enc	9	0.642
72	CTL	8	0.66
73	Enc	8	0.721
74	Enc	9	0.481
75	CTL	9	0.716
76	CTL	6	0.457
77	Enc	5	0.414
78	Enc	8	0.678
79	Enc	5	0.55
80	CTL	6	0.467
81	Enc	6	0.812
82	CTL	6	0.581
83	CTL	9	0.473
84	Enc	5	0.484
85	Enc	6	0.476
86	Enc	8	0.495
87	CTL	5	0.53
88	CTL	8	0.468
89	CTL	9	0.464
90	CTL	6	0.447
91	Enc	5	0.595
92	CTL	5	0.559
93	Enc	5	0.002
94	CTL	5	0.571
95	Enc	5	0.002
96	Enc	9	0.595
97	Enc	9	0.507
98	Enc	5	0.563
99	Enc	8	0.621
100	CTL	8	0.013
101	Enc	6	0.472
102	Enc	6	0.521
103	CTL	8	0.684
104	CTL	6	0.63
105	Enc	5	0.003
106	CTL	5	0.002
107	Enc	6	0.393
108	Enc	8	0.655
109	Enc	9	0.002
110	Enc	8	0.824
111	Enc	9	0.666
112	CTL	8	0.537
113	CTL	9	0.561
114	Enc	6	0.611
115	Enc	5	0.492
116	Enc	6	0.566
