	Condition	CorrectSource	Stim_RT
0	Enc	6	1.175
1	Enc	5	1.448
2	Enc	6	1.041
3	Enc	9	1.192
4	Enc	8	1.036
5	Enc	9	0.99
6	Enc	8	1.056
7	CTL	8	0.98
8	CTL	5	1.22
9	Enc	6	1.115
10	CTL	6	0.764
11	Enc	5	0.934
12	Enc	6	1.08
13	CTL	8	0.95
14	Enc	6	0.88
15	Enc	8	1.678
16	Enc	5	0.0
17	Enc	9	1.55
18	Enc	9	1.444
19	Enc	5	1.295
20	Enc	5	1.35
21	Enc	5	1.393
22	CTL	8	0.971
23	CTL	5	0.751
24	Enc	8	0.878
25	Enc	6	1.038
26	Enc	5	1.085
27	CTL	5	0.629
28	Enc	6	1.118
29	Enc	5	0.855
30	CTL	6	0.816
31	Enc	8	1.124
32	Enc	5	1.072
33	Enc	9	1.256
34	Enc	8	1.289
35	Enc	9	1.138
36	Enc	8	1.185
37	Enc	6	1.716
38	CTL	9	0.712
39	CTL	8	0.874
40	Enc	9	0.927
41	Enc	6	1.576
42	Enc	9	1.164
43	Enc	6	1.646
44	CTL	5	0.784
45	Enc	5	1.044
46	Enc	9	1.099
47	CTL	9	0.876
48	Enc	8	2.075
49	CTL	6	0.893
50	CTL	6	0.878
51	CTL	6	1.017
52	CTL	9	0.933
53	Enc	6	1.206
54	Enc	6	1.27
55	Enc	5	1.9
56	Enc	6	1.97
57	Enc	9	0.942
58	Enc	8	0.992
59	Enc	9	1.78
60	Enc	8	0.0
61	Enc	9	1.082
62	Enc	6	1.333
63	Enc	6	1.319
64	Enc	8	0.681
65	Enc	9	1.159
66	Enc	6	1.061
67	CTL	8	0.852
68	Enc	5	0.846
69	CTL	9	2.676
70	CTL	8	0.712
71	CTL	5	0.849
72	Enc	9	0.575
73	Enc	8	1.056
74	Enc	8	1.509
75	Enc	6	1.332
76	CTL	5	1.216
77	Enc	9	1.274
78	CTL	8	0.712
79	Enc	9	1.013
80	CTL	9	0.685
81	CTL	8	0.557
82	CTL	9	0.619
83	CTL	5	0.554
84	Enc	5	1.833
85	CTL	6	0.0
86	CTL	6	0.775
87	Enc	8	1.181
88	CTL	9	0.774
89	Enc	8	0.758
90	Enc	5	1.013
91	Enc	8	0.823
92	CTL	8	0.0
93	Enc	9	1.806
94	Enc	8	1.055
95	Enc	8	1.067
96	CTL	8	1.052
97	CTL	5	0.64
98	Enc	5	0.674
99	CTL	9	0.638
100	CTL	9	0.528
101	CTL	6	0.572
102	Enc	9	1.006
103	CTL	6	1.063
104	CTL	5	0.521
105	CTL	6	0.959
106	Enc	5	0.581
107	Enc	9	1.63
108	Enc	8	1.029
109	Enc	6	1.547
110	Enc	9	1.245
111	CTL	9	0.0
112	Enc	5	0.975
113	Enc	6	1.093
114	Enc	5	0.831
115	Enc	5	1.275
116	Enc	8	1.085
