	Condition	CorrectSource	Stim_RT
0	CTL	8	1.402
1	Enc	6	0.0
2	Enc	5	1.822
3	Enc	6	1.93
4	Enc	9	1.814
5	Enc	8	1.094
6	Enc	9	2.895
7	CTL	5	0.838
8	CTL	6	0.807
9	Enc	8	2.139
10	CTL	8	0.791
11	Enc	6	1.678
12	Enc	5	2.383
13	CTL	8	0.84
14	Enc	6	2.578
15	Enc	6	1.558
16	Enc	8	2.848
17	Enc	5	2.34
18	Enc	9	2.74
19	Enc	9	2.095
20	Enc	5	1.966
21	Enc	5	2.258
22	CTL	5	1.026
23	Enc	5	1.641
24	Enc	8	1.949
25	CTL	5	0.825
26	Enc	6	2.005
27	Enc	5	0.0
28	Enc	6	2.673
29	Enc	5	1.805
30	Enc	8	1.166
31	Enc	5	2.41
32	Enc	9	2.113
33	CTL	6	0.746
34	CTL	9	1.036
35	CTL	8	0.667
36	CTL	5	0.674
37	Enc	8	1.46
38	CTL	9	0.718
39	Enc	9	1.395
40	CTL	6	0.812
41	Enc	8	1.373
42	Enc	6	1.702
43	Enc	9	2.205
44	Enc	6	1.31
45	Enc	9	1.91
46	Enc	6	1.371
47	CTL	6	1.021
48	Enc	5	1.249
49	Enc	9	1.691
50	Enc	8	1.613
51	Enc	6	1.888
52	CTL	6	0.655
53	CTL	9	0.819
54	Enc	6	1.771
55	Enc	5	1.94
56	Enc	6	1.742
57	CTL	8	0.749
58	Enc	9	1.769
59	Enc	8	2.389
60	Enc	9	2.1
61	CTL	9	1.023
62	Enc	8	1.329
63	Enc	9	1.898
64	CTL	8	0.745
65	CTL	5	0.715
66	CTL	5	0.535
67	CTL	8	0.688
68	CTL	9	0.564
69	CTL	8	0.542
70	Enc	6	2.109
71	Enc	6	1.568
72	Enc	8	1.336
73	Enc	9	2.785
74	Enc	6	1.955
75	CTL	9	0.709
76	CTL	5	0.721
77	Enc	5	1.363
78	Enc	9	2.038
79	Enc	8	1.748
80	Enc	8	1.311
81	CTL	6	0.867
82	Enc	6	1.832
83	CTL	6	0.847
84	Enc	9	1.522
85	Enc	9	1.432
86	Enc	5	2.639
87	CTL	9	0.781
88	Enc	8	1.517
89	CTL	8	0.654
90	Enc	8	1.089
91	CTL	8	0.712
92	Enc	5	0.0
93	CTL	5	0.544
94	Enc	8	0.791
95	Enc	9	0.895
96	CTL	9	0.68
97	CTL	9	0.481
98	Enc	8	1.426
99	Enc	8	1.302
100	CTL	6	0.471
101	Enc	5	1.636
102	Enc	9	1.221
103	Enc	5	1.519
104	Enc	9	2.371
105	Enc	8	1.159
106	CTL	6	0.721
107	Enc	6	1.471
108	Enc	9	1.122
109	CTL	5	0.692
110	CTL	6	0.568
111	Enc	5	1.481
112	Enc	6	1.974
113	CTL	9	0.836
114	Enc	5	1.201
115	Enc	5	1.249
116	Enc	8	1.15
