	Condition	CorrectSource	Stim_RT
0	Enc	8	1.784
1	CTL	6	1.392
2	Enc	5	1.81
3	Enc	5	1.31
4	CTL	5	1.036
5	CTL	6	0.807
6	Enc	6	2.105
7	Enc	5	1.36
8	CTL	6	1.281
9	Enc	9	1.631
10	CTL	9	1.534
11	Enc	6	2.779
12	CTL	9	1.699
13	CTL	5	0.81
14	Enc	8	1.482
15	Enc	9	2.407
16	Enc	5	1.827
17	Enc	9	2.274
18	Enc	5	1.637
19	Enc	8	1.876
20	Enc	8	1.182
21	Enc	9	1.223
22	Enc	8	2.127
23	Enc	5	1.325
24	CTL	8	1.084
25	Enc	8	1.278
26	Enc	8	1.334
27	Enc	5	2.415
28	CTL	8	1.317
29	Enc	9	2.139
30	Enc	9	2.009
31	Enc	6	2.093
32	Enc	8	2.38
33	Enc	8	1.546
34	Enc	9	1.721
35	Enc	5	0.917
36	Enc	6	1.221
37	CTL	9	0.779
38	CTL	6	0.664
39	CTL	6	0.711
40	CTL	5	0.562
41	Enc	9	1.165
42	Enc	8	1.006
43	CTL	9	0.731
44	Enc	6	1.487
45	Enc	6	1.101
46	Enc	9	1.298
47	Enc	8	2.143
48	CTL	8	1.052
49	Enc	9	1.234
50	CTL	9	1.032
51	CTL	8	0.553
52	Enc	8	1.983
53	Enc	9	1.031
54	Enc	6	0.717
55	CTL	5	0.637
56	Enc	5	1.462
57	Enc	6	1.719
58	Enc	6	2.695
59	Enc	8	1.337
60	Enc	9	1.39
61	CTL	5	0.656
62	Enc	5	1.182
63	CTL	8	0.664
64	CTL	9	0.609
65	Enc	6	0.863
66	CTL	8	0.703
67	Enc	9	1.185
68	Enc	6	0.895
69	Enc	9	0.756
70	Enc	6	2.455
71	Enc	8	0.966
72	Enc	9	1.171
73	Enc	8	1.073
74	CTL	9	0.614
75	Enc	9	0.0
76	CTL	6	0.663
77	Enc	5	1.119
78	Enc	8	0.935
79	Enc	5	0.944
80	Enc	6	1.034
81	CTL	6	0.589
82	Enc	5	1.8
83	Enc	6	1.773
84	Enc	8	1.099
85	CTL	6	0.955
86	CTL	9	0.673
87	CTL	5	0.665
88	Enc	5	1.502
89	Enc	5	0.879
90	CTL	8	0.887
91	Enc	5	0.94
92	Enc	9	0.703
93	CTL	9	0.75
94	Enc	9	1.423
95	Enc	5	1.39
96	CTL	6	0.807
97	CTL	5	0.657
98	Enc	8	2.011
99	Enc	6	1.349
100	CTL	5	0.675
101	CTL	8	0.544
102	Enc	6	0.627
103	Enc	5	1.258
104	CTL	8	0.892
105	CTL	6	0.538
106	Enc	6	1.309
107	Enc	8	0.767
108	CTL	5	0.669
109	CTL	8	0.598
110	Enc	9	0.721
111	Enc	8	0.505
112	CTL	9	0.703
113	Enc	9	1.155
114	Enc	6	1.089
115	Enc	5	0.881
116	Enc	6	0.922
