	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
106	OLD	food_pickle01a.bmp	Old22	1	1	1.906	5	365
107	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.253	9	482
108	New	kitchen_ramekin.bmp	New13	1	2	3.916	9	482
109	OLD	animal_lion_new.bmp	Old07	1	1	1.839	6	484
110	New	food_drink.bmp	New05	1	2	1.624	6	484
111	OLD	vegie_carrot.bmp	Old78	1	1	1.662	8	411
112	OLD	food_croissant01.bmp	Old19	1	1	1.834	9	560
113	New	food_walnut01c.bmp	New34	0	1	3.153	5	362
114	New	fruit_rasberry.bmp	New10	1	2	4.322	5	362
115	OLD	musical_xylophone_old.bmp	Old52	1	1	2.58	9	756
116	OLD	animal_camel_new.bmp	Old01	1	1	1.301	9	433
