	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
49	315.543	3.0	318.543	0.5	False	CTL13	OLD	kitchen_plate.bmp	Old35	0	2	3.562	6	1981
50	319.043	3.0	322.04200000000003	1.0	False	CTL14	OLD	musical_accordion_old.bmp	Old41	1	1	1.5759999999999998	5	1712
51	323.04200000000003	3.0	326.04200000000003	2.5	False	CTL15	New	fruit_rasberry.bmp	New10	1	2	1.232	5	1712
52	328.542	3.0	331.542	6.5	False	CTL16	New	animal_horse.bmp	New20	1	2	1.2429999999999999	5	1712
53	338.041	3.0	341.041	9.5	Old50	Enc38	New	musical_tambourine_new.bmp	New06	1	2	1.9809999999999999	5	1712
54	350.54	3.0	353.54	3.0	Old61	Enc39	OLD	kitchen_ladle.bmp	Old31	1	1	1.62	5	1026
55	356.54	3.0	359.539	3.0	Old57	Enc40	New	sporting_basketball_new.bmp	New14	0	1	1.253	6	1114
56	362.539	3.0	365.539	1.0	Old71	Enc41	New	food_drink.bmp	New05	1	2	1.034	6	1114
57	366.539	3.0	369.539	2.0	Old62	Enc42	OLD	vegie_green capsicum.bmp	Old75	1	1	3.653	9	890
58	371.538	3.0	374.538	1.0	Old20	Enc43	OLD	hard_musical_recorder.bmp	Old40	1	1	1.4280000000000002	9	3424
59	375.538	3.0	378.538	0.5	Old33	Enc44	OLD	musical_harp_new.bmp	Old43	1	1	1.4280000000000002	8	1649
60	379.038	3.0	382.038	2.5	Old21	Enc45	New	kitchen_garlic press.bmp	New07	1	2	1.413	8	1649
61	384.537	3.0	387.537	8.5	Old30	Enc46	New	kitchen_spatula_old.bmp	New37	1	2	2.945	8	1649
62	396.036	3.0	399.036	5.5	Old38	Enc47	OLD	animal_frog.bmp	Old06	1	1	1.433	5	558
63	404.536	3.0	407.536	2.0	Old10	Enc48	OLD	animal_lion_new.bmp	Old07	0	2	2.572	5	558
64	409.535	3.0	412.535	6.0	Old47	Enc49	OLD	food_shellpasta.bmp	Old25	1	1	1.2890000000000001	5	428
65	418.535	3.0	421.534	6.0	Old46	Enc50	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.359	8	567
66	427.534	3.0	430.534	1.5	Old03	Enc51	OLD	musical_acoustic guitar_new.bmp	Old42	0	2	1.886	8	567
67	432.034	3.0	435.033	2.0	False	CTL17	OLD	food_candy.bmp	Old16	1	1	1.59	8	573
68	437.033	3.0	440.033	1.5	Old48	Enc52	OLD	animal_dalmation_old.bmp	Old04	1	1	1.3459999999999999	5	515
69	441.533	3.0	444.533	4.0	False	CTL18	OLD	kitchen_peppermill.bmp	Old33	0	2	1.8840000000000001	5	515
70	448.532	3.0	451.532	0.5	False	CTL19	OLD	vegie_carrot.bmp	Old78	1	1	1.829	6	1186
71	452.032	3.0	455.032	6.0	False	CTL20	New	animal_ostrich.bmp	New26	1	2	1.815	6	1186
72	461.031	3.0	464.031	0.5	Old59	Enc53	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.403	9	561
73	464.531	3.0	467.531	2.5	Old42	Enc54	OLD	sporting_skipping rope.bmp	Old63	1	1	0.99	9	525
74	470.031	3.0	473.03	1.5	Old56	Enc55	New	kitchen_kettle_new.bmp	New24	1	2	5.835	9	525
75	474.53	3.0	477.53	2.5	Old28	Enc56	New	sporting_windsurf.bmp	New31	1	2	3.5989999999999998	9	525
76	480.03	3.0	483.03	5.5	False	CTL21	OLD	food_toast.bmp	Old26	1	1	3.34	5	812
77	488.529	3.0	491.529	4.5	Old65	Enc57	OLD	musical_violin_old.bmp	Old51	1	1	1.111	6	537
78	496.029	3.0	499.028	2.5	False	CTL22	OLD	animal_cheetah.bmp	Old02	1	1	1.041	9	1829
79	501.528	3.0	504.528	6.5	Old75	Enc58	New	food_bagel01.bmp	New17	1	2	3.3289999999999997	9	1829
80	511.027	3.0	514.0269999999998	6.5	False	CTL23	OLD	animal_monarch_old.bmp	Old08	1	1	1.183	5	350
