id	total_frames	total_scrubbed	mean_motion_tx	mean_motion_ty	mean_motion_tz	mean_motion_rx	mean_motion_ry	mean_motion_rz	mean_FD	mean_white_matt_sig	mean_ventri_sig
502616	310.0	5.0	0.015959264386084786	0.04097093151461693	0.11042926542220576	0.09057513950617924	0.014333515080802658	0.018181542057992627	0.26794114300320226	-1.0802650884274514e-06	-1.5635698312713252e-05
866812	310.0	267.0	0.192033233950215	0.1394607197853827	0.2936423240169402	0.40583812775270595	0.14249367565855445	0.2734237399744621	0.4663246373736089	1.8457085975716191e-07	-1.3153749187627145e-05
403131	310.0	201.0	0.05996754323282551	0.11425135674015166	0.15005565766365297	0.1728565799027321	0.05725704181622418	0.05595934740338108	0.38842068975490907	-3.1247254340879378e-06	1.6166221710943408e-05
385370	310.0	17.0	0.04604760446856101	0.04448646114718529	0.22920701119207568	0.09963046837027274	0.13388465664109156	0.03825469169631457	0.2155806525580344	4.346320225346473e-06	1.1805450964358546e-05
658178	310.0	38.0	0.030602087897639102	0.03840762415239886	0.25538182412424393	0.24799478684116394	0.08597028792671826	0.0923230965234618	0.21439248534940905	1.0623198543330449e-06	2.2048132884652344e-05
956130	310.0	4.0	0.031192464982309633	0.04723808996139034	0.10106377447805097	0.06387368909490762	0.07535786547607952	0.028759405295920342	0.1511074801125834	4.487163237024228e-06	7.37398382156126e-06
748676	310.0	41.0	0.08560243268166819	0.08011614276516824	0.0784425489364132	0.3864425046639817	0.11421519623198095	0.12977004390775093	0.1719826978330891	9.424984455108643e-08	-6.984558797651722e-06
326073	310.0	9.0	0.09565426072766703	0.04342931932018649	0.1511218517057357	0.15775759450325202	0.06453411832617055	0.12808259422430815	0.16380013560335485	-2.692303349866211e-07	-3.069055176550056e-05
413474	310.0	64.0	0.09035084709044428	0.09940901725522933	0.13982980789676788	0.09474738840043785	0.12479088511242861	0.30299072872158217	0.29738053159127315	-2.8496795904685963e-06	-1.2710987920722654e-05
884343	310.0	75.0	0.054541194054388245	0.10224673325015653	0.21684084861509262	0.274089264122942	0.28260547803281133	0.04111320145358705	0.33561396836753815	-5.1230582739019e-06	-2.887532595659494e-06
