	Condition	CorrectSource	Stim_RT
0	CTL	6	1.027
1	Enc	8	1.23
2	Enc	5	1.333
3	Enc	5	1.084
4	Enc	6	1.319
5	Enc	5	1.333
6	Enc	9	1.525
7	CTL	5	1.188
8	CTL	6	1.007
9	CTL	6	0.917
10	CTL	9	0.986
11	Enc	6	0.927
12	Enc	8	0.987
13	CTL	9	1.16
14	Enc	9	1.22
15	Enc	5	1.1
16	Enc	9	0.926
17	Enc	5	0.989
18	Enc	8	1.102
19	Enc	8	1.072
20	Enc	9	1.563
21	Enc	8	1.029
22	Enc	5	1.028
23	CTL	5	1.024
24	CTL	8	0.76
25	Enc	8	1.195
26	Enc	8	1.068
27	Enc	5	1.172
28	Enc	9	1.451
29	Enc	9	0.946
30	CTL	8	0.965
31	Enc	6	1.042
32	CTL	9	0.992
33	Enc	8	1.328
34	Enc	8	1.238
35	Enc	9	1.0
36	Enc	5	1.311
37	Enc	6	0.998
38	Enc	9	1.365
39	Enc	8	1.046
40	Enc	6	0.987
41	Enc	6	1.296
42	CTL	6	1.0
43	Enc	9	0.924
44	Enc	8	0.856
45	CTL	6	0.954
46	Enc	9	0.992
47	Enc	8	1.257
48	Enc	9	1.056
49	Enc	6	1.265
50	Enc	5	1.763
51	CTL	5	0.738
52	Enc	6	1.112
53	CTL	9	1.16
54	CTL	8	0.866
55	CTL	9	0.727
56	Enc	6	1.286
57	Enc	8	1.031
58	Enc	9	0.901
59	Enc	5	1.145
60	Enc	6	1.494
61	Enc	9	1.176
62	CTL	8	0.828
63	Enc	6	1.087
64	Enc	9	1.175
65	CTL	5	0.963
66	CTL	5	0.74
67	Enc	6	0.919
68	CTL	8	0.796
69	CTL	9	0.873
70	Enc	8	0.925
71	Enc	9	0.988
72	CTL	8	0.829
73	Enc	8	1.03
74	Enc	9	0.951
75	CTL	9	1.004
76	CTL	6	0.894
77	Enc	5	1.132
78	Enc	8	0.932
79	Enc	5	0.908
80	CTL	6	0.778
81	Enc	6	0.946
82	CTL	6	0.824
83	CTL	9	0.758
84	Enc	5	0.962
85	Enc	6	0.806
86	Enc	8	0.947
87	CTL	5	0.864
88	CTL	8	0.698
89	CTL	9	0.673
90	CTL	6	0.85
91	Enc	5	1.014
92	CTL	5	0.985
93	Enc	5	1.415
94	CTL	5	0.561
95	Enc	5	0.538
96	Enc	9	0.75
97	Enc	9	0.872
98	Enc	5	0.633
99	Enc	8	0.974
100	CTL	8	0.641
101	Enc	6	0.654
102	Enc	6	1.003
103	CTL	8	0.687
104	CTL	6	0.683
105	Enc	5	0.653
106	CTL	5	0.776
107	Enc	6	0.891
108	Enc	8	1.006
109	Enc	9	0.637
110	Enc	8	0.705
111	Enc	9	0.983
112	CTL	8	0.648
113	CTL	9	0.782
114	Enc	6	0.842
115	Enc	5	1.093
116	Enc	6	1.132
