	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT
0	OLD	sporting_americanfootball.bmp	Old53	1	1	34.959	8	4948
1	OLD	food_cracker02.bmp	Old18	1	1	1.757	9	1606
2	New	kitchen_toaster_old.bmp	New30	1	2	2.012	9	1606
3	OLD	sporting_karate clothing.bmp	Old60	1	1	1.619	9	1433
4	OLD	fruit_green grapes.bmp	Old68	1	1	1.862	6	1555
5	OLD	food_toast.bmp	Old26	1	1	1.564	6	1205
6	OLD	hard_musical_recorder.bmp	Old40	1	1	2.643	5	1584
7	New	musical_tambourine_new.bmp	New06	1	2	2.56	5	1584
8	OLD	food_candy.bmp	Old16	1	1	1.753	6	1050
9	OLD	musical_piano_old.bmp	Old48	1	1	1.335	5	1248
10	OLD	musical_accordion_old.bmp	Old41	1	1	1.39	8	1245
11	New	sporting_golf ball.bmp	New19	1	2	2.49	8	1245
12	OLD	kitchen_plate.bmp	Old35	1	1	1.462	9	2507
13	New	animal_gorilla.bmp	New15	0	1	1.686	9	1153
14	OLD	food_rawchicken.bmp	Old23	0	2	2.946	9	1153
15	OLD	food_croissant01.bmp	Old19	1	1	1.571	8	3075
16	OLD	vegie_carrot.bmp	Old78	1	1	1.336	9	1033
17	OLD	vegie_cauliflower.bmp	Old72	1	1	1.575	9	958
18	OLD	musical_tuba.bmp	Old50	1	1	2.159	9	976
19	New	fruit_rasberry.bmp	New10	1	2	2.296	9	976
20	OLD	sporting_bicycle_old.bmp	Old55	1	1	1.187	6	930
21	OLD	animal_lion_new.bmp	Old07	1	1	1.964	5	1861
22	OLD	sporting_mini-trampoline.bmp	Old61	1	1	1.138	5	1131
23	OLD	vegie_radish.bmp	Old77	1	1	1.397	8	956
24	New	vegie_broccoli.bmp	New36	1	2	2.565	8	956
25	New	sporting_windsurf.bmp	New31	1	2	3.35	8	956
26	New	animal_ostrich.bmp	New26	1	2	1.415	8	956
27	OLD	fruit_lemon_new.bmp	Old69	1	1	1.917	9	7935
28	OLD	kitchen_scrubbing brush.bmp	Old36	1	1	1.577	6	1145
29	OLD	vegie_green capsicum.bmp	Old75	1	1	2.018	8	912
30	OLD	animal_cheetah.bmp	Old02	1	1	1.674	5	6678
31	OLD	musical_xylophone_old.bmp	Old52	1	1	1.395	8	938
32	New	kitchen_fork_old.bmp	New18	1	2	1.908	8	938
33	OLD	food_frenchfries.bmp	Old20	1	1	1.519	5	1945
34	New	kitchen_kettle_new.bmp	New24	1	2	3.33	5	1945
35	OLD	sporting_boxing_gloves.bmp	Old56	1	1	1.204	8	891
36	OLD	musical_triangle.bmp	Old49	1	1	1.278	8	755
37	New	vegie_pumpkin.bmp	New21	1	2	2.035	8	755
38	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	1.736	9	1466
39	OLD	animal_penguin.bmp	Old10	1	1	0.942	8	1223
40	OLD	musical_harp_new.bmp	Old43	1	1	1.95	6	8055
41	New	sporting_basketball_new.bmp	New14	1	2	4.741	6	8055
42	OLD	food_chocolatemilk.bmp	Old17	1	1	1.118	8	841
43	OLD	kitchen_martini glass.bmp	Old32	1	1	1.423	5	813
44	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.163	8	860
45	OLD	animal_farm pig.bmp	Old05	1	1	1.017	9	840
46	OLD	sporting_skipping rope.bmp	Old63	1	1	1.157	8	774
47	OLD	vegie_mushroom.bmp	Old76	1	1	1.885	9	1625
48	OLD	animal_frog.bmp	Old06	1	1	1.175	6	1343
49	OLD	kitchen_white strainer.bmp	Old38	1	1	1.489	5	3332
50	New	animal_seal.bmp	New38	1	2	1.702	5	3332
51	OLD	sporting_rollerblade.bmp	Old62	1	1	1.497	9	652
52	New	vegie_snowpea01.bmp	New27	1	2	3.297	9	652
53	OLD	kitchen_tea cup and saucer.bmp	Old37	1	1	1.86	6	849
54	New	kitchen_garlic press.bmp	New07	1	2	1.502	6	849
55	OLD	food_bottleofredwine01.bmp	Old15	1	1	2.393	8	912
56	OLD	kitchen_wooden spoon_old.bmp	Old39	1	1	1.435	5	736
57	OLD	fruit_watermelon_old.bmp	Old71	1	1	1.234	5	720
58	New	food_cookie01.bmp	New11	1	2	4.027	5	720
59	OLD	musical_double bass.bmp	Old45	1	1	1.24	6	1895
60	New	animal_giraffe.bmp	New03	1	2	7.033	6	1895
61	OLD	animal_camel_new.bmp	Old01	1	1	1.023	8	669
62	OLD	musical_violin_old.bmp	Old51	1	1	1.522	5	1436
63	New	kitchen_baking spatula.bmp	New01	1	2	3.113	5	1436
64	OLD	animal_dalmation_old.bmp	Old04	1	1	2.1	9	679
65	New	sporting_weighlifting.bmp	New25	1	2	2.019	9	679
66	OLD	food_pickle01a.bmp	Old22	1	1	1.049	9	703
67	New	food_bagel01.bmp	New17	1	2	2.026	9	703
68	OLD	animal_parrot.bmp	Old09	1	1	1.632	8	694
69	New	animal_horse.bmp	New20	1	2	1.77	8	694
70	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.337	6	4354
71	OLD	fruit_pineapple_old.bmp	Old70	1	1	1.708	6	1438
72	OLD	Kitchen_apron.bmp	Old27	1	1	1.548	8	637
73	New	food_pizza.bmp	New22	1	2	1.555	8	637
74	New	food_walnut01c.bmp	New34	1	2	4.924	8	637
75	OLD	food_baguette01.bmp	Old14	1	1	1.095	8	658
76	OLD	food_softcheese.bmp	Old24	1	1	1.647	5	612
77	OLD	kitchen_coffee pot.bmp	Old29	1	1	1.163	6	723
78	OLD	musical_harmonica_new.bmp	Old47	1	1	1.398	8	597
79	OLD	kitchen_cookie cutter.bmp	Old30	1	1	1.363	8	637
80	OLD	animal_sheep.bmp	Old11	1	1	9.185	9	4961
81	OLD	sporting_snow shoes_old.bmp	Old64	1	1	2.858	5	711
82	OLD	kitchen_pitcher.bmp	Old34	1	1	1.626	9	1304
83	New	fruit_granny smith apple.bmp	New16	1	2	1.867	9	1304
84	OLD	kitchen_ladle.bmp	Old31	1	1	1.255	5	684
85	New	musical_zamponia windflute.bmp	New29	1	2	5.759	5	684
86	New	kitchen_spatula_old.bmp	New37	1	2	1.833	5	684
87	OLD	kitchen_big cooking pot.bmp	Old28	1	1	6.63	6	11372
88	OLD	vegie_corn02.bmp	Old73	1	1	2.845	9	779
89	New	musical_uculele_new.bmp	New39	1	2	6.666	9	779
90	New	fruit_apricot_new.bmp	New04	1	2	2.471	9	779
91	New	food_drink.bmp	New05	1	2	1.219	9	779
92	OLD	sporting_fishing rod.bmp	Old59	1	1	1.129	6	636
93	New	fruit_cherry.bmp	Old67	1	1	3.841	6	975
94	New	vegie_cucumber.bmp	New33	0	1	1.159	9	3240
95	OLD	food_shellpasta.bmp	Old25	1	1	2.781	6	677
96	OLD	musical_clarinet_new.bmp	Old44	1	1	2.609	5	4584
97	New	sporting_baseball bat_new.bmp	New08	1	2	1.376	5	4584
98	OLD	animal_siamese cat.bmp	Old12	1	1	1.16	5	425
99	OLD	kitchen_peppermill.bmp	Old33	1	1	1.503	5	338
100	OLD	sporting_hockey stick_old.bmp	Old58	1	1	5.499	8	13655
101	OLD	sporting_footballhelmet.bmp	Old57	1	1	1.645	8	1003
102	OLD	musical_drums_old.bmp	Old46	1	1	1.088	9	628
103	OLD	food_pecan02.bmp	Old21	1	1	1.425	9	513
104	New	animal_pigeon.bmp	New32	1	2	1.53	9	513
105	New	musical_bagpipes.bmp	New35	1	2	1.835	9	513
106	New	kitchen_ramekin.bmp	New13	1	2	5.065	9	513
107	New	animal_dolphin_old.bmp	New09	1	2	0.99	9	513
108	New	food_bread.bmp	New28	1	2	2.557	9	513
109	OLD	animal_zebra_old.bmp	Old13	0	2	10.734	9	513
110	New	sporting_flippers.bmp	New02	1	2	1.153	9	513
111	OLD	animal_chimpanzee.bmp	Old03	1	1	4.41	9	1105
112	OLD	sporting_Badminton Racquet.bmp	Old54	1	1	1.314	9	3693
113	OLD	animal_monarch_old.bmp	Old08	1	1	1.385	6	3193
114	New	musical_bongo drum.bmp	New23	1	2	2.152	6	3193
115	New	musical_french horn_old.bmp	New12	1	2	2.353	6	3193
116	OLD	vegie_garlic01a.bmp	Old74	1	1	1.154	8	835
