	Condition	CorrectSource	Stim_RT
0	Enc	8	1.297
1	CTL	6	0.791
2	Enc	5	1.356
3	Enc	5	1.449
4	CTL	5	0.709
5	CTL	6	0.819
6	Enc	6	1.964
7	Enc	5	2.005
8	CTL	6	0.629
9	Enc	9	1.568
10	CTL	9	0.627
11	Enc	6	1.291
12	CTL	9	0.656
13	CTL	5	1.348
14	Enc	8	1.016
15	Enc	9	1.71
16	Enc	5	2.12
17	Enc	9	0.719
18	Enc	5	1.322
19	Enc	8	1.338
20	Enc	8	1.662
21	Enc	9	2.21
22	Enc	8	1.077
23	Enc	5	1.395
24	CTL	8	0.624
25	Enc	8	1.397
26	Enc	8	1.562
27	Enc	5	0.686
28	CTL	8	0.746
29	Enc	9	1.075
30	Enc	9	1.726
31	Enc	6	1.838
32	Enc	8	1.36
33	Enc	8	1.056
34	Enc	9	1.57
35	Enc	5	1.346
36	Enc	6	1.625
37	CTL	9	0.577
38	CTL	6	0.468
39	CTL	6	0.597
40	CTL	5	0.575
41	Enc	9	1.245
42	Enc	8	0.975
43	CTL	9	0.735
44	Enc	6	1.769
45	Enc	6	0.904
46	Enc	9	1.326
47	Enc	8	0.528
48	CTL	8	0.644
49	Enc	9	1.61
50	CTL	9	0.56
51	CTL	8	0.629
52	Enc	8	1.889
53	Enc	9	2.585
54	Enc	6	1.398
55	CTL	5	0.595
56	Enc	5	0.991
57	Enc	6	0.557
58	Enc	6	1.841
59	Enc	8	1.229
60	Enc	9	1.281
61	CTL	5	0.471
62	Enc	5	1.301
63	CTL	8	0.582
64	CTL	9	0.658
65	Enc	6	1.753
66	CTL	8	0.665
67	Enc	9	1.561
68	Enc	6	1.245
69	Enc	9	1.171
70	Enc	6	1.233
71	Enc	8	0.766
72	Enc	9	1.336
73	Enc	8	1.383
74	CTL	9	0.604
75	Enc	9	2.335
76	CTL	6	0.529
77	Enc	5	1.161
78	Enc	8	1.361
79	Enc	5	1.748
80	Enc	6	1.129
81	CTL	6	0.637
82	Enc	5	1.48
83	Enc	6	1.265
84	Enc	8	1.436
85	CTL	6	0.554
86	CTL	9	0.387
87	CTL	5	0.601
88	Enc	5	1.551
89	Enc	5	1.291
90	CTL	8	0.665
91	Enc	5	1.48
92	Enc	9	1.479
93	CTL	9	0.711
94	Enc	9	1.29
95	Enc	5	1.253
96	CTL	6	0.688
97	CTL	5	0.996
98	Enc	8	1.12
99	Enc	6	1.04
100	CTL	5	0.607
101	CTL	8	0.568
102	Enc	6	1.587
103	Enc	5	0.714
104	CTL	8	0.693
105	CTL	6	0.657
106	Enc	6	0.549
107	Enc	8	1.145
108	CTL	5	0.584
109	CTL	8	0.745
110	Enc	9	1.45
111	Enc	8	1.884
112	CTL	9	0.583
113	Enc	9	1.499
114	Enc	6	1.095
115	Enc	5	1.982
116	Enc	6	1.024
