	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond	Condition	CorrectSource	Stim_RT
84	522.0319999999998	3.0	525.0319999999998	11.0	Old69	Enc60	1	8	0.8909999999999999
85	536.531	3.0	539.531	0.5	False	CTL26	0	6	0.9129999999999999
86	540.031	3.0	543.03	4.0	False	CTL27	0	9	0.856
87	547.03	3.0	550.03	0.5	False	CTL28	0	5	0.645
88	550.53	3.0	553.529	2.5	Old36	Enc61	1	5	1.3419999999999999
89	556.029	3.0	559.029	3.0	Old57	Enc62	1	5	1.045
90	562.029	3.0	565.028	1.0	False	CTL29	0	8	0.8740000000000001
91	566.028	3.0	569.028	2.0	Old12	Enc63	1	5	1.1740000000000002
92	571.028	3.0	574.028	0.5	Old11	Enc64	1	9	1.207
93	574.5269999999998	3.0	577.5269999999998	7.0	False	CTL30	0	9	2.255
94	584.5269999999998	3.0	587.526	0.5	Old62	Enc65	1	9	1.554
95	588.026	3.0	591.026	0.5	Old44	Enc66	1	5	1.15
96	591.526	3.0	594.526	0.5	False	CTL31	0	6	2.565
97	595.026	3.0	598.025	1.5	False	CTL32	0	5	0.662
98	599.525	3.0	602.525	3.0	Old64	Enc67	1	8	1.78
99	605.525	3.0	608.524	1.5	Old39	Enc68	1	6	1.0390000000000001
100	610.024	3.0	613.024	4.5	False	CTL33	0	5	0.6579999999999999
101	617.524	3.0	620.523	0.5	False	CTL34	0	8	0.616
102	621.023	3.0	624.023	8.0	Old06	Enc69	1	6	1.044
103	632.0219999999998	3.0	635.0219999999998	1.0	Old59	Enc70	1	5	1.127
104	636.0219999999998	3.0	639.0219999999998	4.5	False	CTL35	0	8	1.143
105	643.521	3.0	646.521	2.0	False	CTL36	0	6	0.629
106	648.521	3.0	651.521	1.0	Old66	Enc71	1	6	1.453
107	652.521	3.0	655.52	2.0	Old07	Enc72	1	8	1.207
108	657.52	3.0	660.52	2.0	False	CTL37	0	5	0.703
109	662.52	3.0	665.5189999999999	10.0	False	CTL38	0	8	0.7090000000000001
110	675.518	3.0	678.518	3.5	Old71	Enc73	1	9	1.084
111	682.018	3.0	685.018	9.0	Old25	Enc74	1	8	1.526
112	694.0169999999998	3.0	697.0169999999998	0.5	False	CTL39	0	9	0.778
113	697.5160000000002	3.0	700.5160000000002	7.0	Old48	Enc75	1	9	1.2819999999999998
114	707.5160000000002	3.0	710.515	12.0	Old58	Enc76	1	6	1.244
115	723.0139999999999	3.0	726.0139999999999	2.5	Old30	Enc77	1	5	1.423
116	728.5139999999999	3.0	731.513	18.0	Old16	Enc78	1	6	1.016
