	category	Stim	OldNumber	Recognition_ACC	Recognition_RESP	Recognition_RT	Spatial_RESP	Spatial_RT	Condition	CorrectSource	Stim_RT
0	OLD	musical_harmonica_new.bmp	Old47	1	1	2.803	8	4473	0	8	1.1840000000000002
1	OLD	sporting_mini-trampoline.bmp	Old61	1	1	2.124	5	1758	1	6	2.353
2	OLD	animal_zebra_old.bmp	Old13	1	1	1.9409999999999998	8	1647	1	5	1.51
3	OLD	musical_xylophone_old.bmp	Old52	1	1	1.706	8	1101	1	6	2.496
4	New	animal_ostrich.bmp	New26	1	2	1.847	8	1101	1	9	2.006
5	New	food_drink.bmp	New05	1	2	2.033	8	1101	1	8	2.657
6	OLD	fruit_blackberry_new.bmp	Old66	1	1	1.4780000000000002	8	1146	1	9	2.124
7	New	musical_french horn_old.bmp	New12	1	2	2.7460000000000004	8	1146	0	5	1.032
8	OLD	animal_farm pig.bmp	Old05	1	1	1.393	9	1633	0	6	1.078
9	New	animal_gorilla.bmp	New15	1	2	8.109	9	1633	1	8	1.3840000000000001
10	OLD	musical_triangle.bmp	Old49	1	1	1.695	5	1451	0	8	0.855
11	OLD	musical_tuba.bmp	Old50	0	2	5.224	5	1451	1	6	2.231
12	New	musical_uculele_new.bmp	New39	1	2	2.174	5	1451	1	5	1.982
13	OLD	musical_clarinet_new.bmp	Old44	1	1	3.285	6	8656	0	8	1.115
14	OLD	kitchen_pitcher.bmp	Old34	1	1	1.692	5	1040	1	6	1.736
15	OLD	kitchen_plate.bmp	Old35	1	1	1.605	8	1300	1	6	1.401
16	OLD	sporting_hockey stick_old.bmp	Old58	1	1	1.63	9	1308	1	8	1.473
17	OLD	food_candy.bmp	Old16	1	1	1.589	8	813	1	5	1.431
18	New	kitchen_baking spatula.bmp	New01	1	2	2.658	8	813	1	9	2.197
19	New	kitchen_spatula_old.bmp	New37	1	2	1.47	8	813	1	9	1.204
20	OLD	sporting_boxing_gloves.bmp	Old56	1	1	4.928999999999999	8	1147	1	5	1.588
21	OLD	kitchen_coffee pot.bmp	Old29	1	1	2.14	6	1734	1	5	1.5319999999999998
22	OLD	kitchen_peppermill.bmp	Old33	1	1	3.03	8	1715	0	5	0.792
23	OLD	hard_musical_recorder.bmp	Old40	1	1	3.54	5	1422	1	5	1.057
24	OLD	sporting_rollerblade.bmp	Old62	1	1	1.4509999999999998	6	3088	1	8	1.2819999999999998
25	OLD	sporting_fishing rod.bmp	Old59	1	1	1.891	6	1135	0	5	0.772
26	OLD	musical_double bass.bmp	Old45	1	1	2.721	6	1835	1	6	1.338
27	OLD	sporting_karate clothing.bmp	Old60	1	1	1.432	9	3327	1	5	1.131
28	OLD	food_chocolatemilk.bmp	Old17	1	1	3.8089999999999997	8	1064	1	6	0.9229999999999999
29	OLD	vegie_radish.bmp	Old77	1	1	1.251	9	888	1	5	0.802
30	OLD	animal_cheetah.bmp	Old02	1	1	2.123	8	973	1	8	1.06
31	OLD	food_shellpasta.bmp	Old25	1	1	1.3230000000000002	6	917	1	5	2.327
32	OLD	animal_dalmation_old.bmp	Old04	1	1	1.4780000000000002	5	858	1	9	1.171
33	New	animal_horse.bmp	New20	1	2	1.527	5	858	0	6	0.611
34	OLD	fruit_pineapple_old.bmp	Old70	0	2	4.752	5	858	0	9	0.805
35	New	animal_pigeon.bmp	New32	1	2	1.561	5	858	0	8	0.732
36	OLD	musical_harp_new.bmp	Old43	1	1	1.7369999999999999	8	810	0	5	0.614
37	OLD	kitchen_martini glass.bmp	Old32	1	1	3.088	5	2291	1	8	1.135
38	New	sporting_basketball_new.bmp	New14	0	1	1.454	9	690	0	9	0.735
39	New	kitchen_garlic press.bmp	New07	1	2	1.669	9	690	1	9	1.6969999999999998
40	OLD	animal_monarch_old.bmp	Old08	1	1	1.831	8	1006	0	6	0.895
41	New	musical_bagpipes.bmp	New35	1	2	1.611	8	1006	1	8	0.8009999999999999
42	New	sporting_flippers.bmp	New02	1	2	2.7939999999999996	8	1006	1	6	1.889
43	OLD	sporting_soccer ball_new.bmp	Old65	1	1	1.953	6	1682	1	9	0.894
44	OLD	kitchen_white strainer.bmp	Old38	1	1	1.6769999999999998	6	1082	1	6	0.875
45	OLD	animal_chimpanzee.bmp	Old03	1	1	2.109	9	912	1	9	1.318
46	OLD	kitchen_ladle.bmp	Old31	1	1	2.698	5	1006	1	6	0.586
47	New	vegie_broccoli.bmp	New36	0	1	4.747	8	8013	0	6	1.962
48	OLD	food_pickle01a.bmp	Old22	1	1	5.755	8	692	1	5	0.597
49	OLD	musical_acoustic guitar_new.bmp	Old42	1	1	3.7110000000000003	6	1650	1	9	1.063
50	New	vegie_snowpea01.bmp	New27	1	2	1.558	6	1650	1	8	1.278
51	New	kitchen_toaster_old.bmp	New30	1	2	1.5030000000000001	6	1650	1	6	1.402
52	New	food_pizza.bmp	New22	1	2	1.361	6	1650	0	6	1.0590000000000002
53	New	sporting_weighlifting.bmp	New25	1	2	1.088	6	1650	0	9	0.552
54	New	kitchen_ramekin.bmp	New13	1	2	4.3389999999999995	6	1650	1	6	0.96
55	OLD	fruit_lemon_new.bmp	Old69	0	2	2.467	6	1650	1	5	2.241
56	OLD	vegie_corn02.bmp	Old73	1	1	1.255	9	812	1	6	0.741
57	OLD	fruit_watermelon_old.bmp	Old71	1	1	9.458	6	1207	0	8	0.757
58	OLD	food_croissant01.bmp	Old19	1	1	2.7489999999999997	6	2559	1	9	1.41
