	Condition	CorrectSource	Stim_RT
0	CTL	6	1.787
1	Enc	8	1.494
2	Enc	5	0.852
3	Enc	5	1.708
4	Enc	6	1.109
5	Enc	5	1.066
6	Enc	9	1.894
7	CTL	5	1.052
8	CTL	6	1.088
9	CTL	6	0.983
10	CTL	9	0.927
11	Enc	6	0.831
12	Enc	8	1.144
13	CTL	9	1.046
14	Enc	9	0.833
15	Enc	5	0.853
16	Enc	9	0.713
17	Enc	5	1.014
18	Enc	8	0.895
19	Enc	8	0.0
20	Enc	9	0.92
21	Enc	8	1.085
22	Enc	5	2.063
23	CTL	5	0.957
24	CTL	8	1.469
25	Enc	8	0.906
26	Enc	8	1.079
27	Enc	5	0.0
28	Enc	9	1.859
29	Enc	9	0.744
30	CTL	8	0.898
31	Enc	6	1.003
32	CTL	9	1.461
33	Enc	8	1.735
34	Enc	8	1.805
35	Enc	9	1.026
36	Enc	5	0.819
37	Enc	6	0.0
38	Enc	9	1.101
39	Enc	8	0.794
40	Enc	6	0.758
41	Enc	6	0.0
42	CTL	6	1.422
43	Enc	9	0.811
44	Enc	8	0.785
45	CTL	6	0.488
46	Enc	9	0.849
47	Enc	8	0.895
48	Enc	9	1.282
49	Enc	6	0.0
50	Enc	5	0.721
51	CTL	5	0.652
52	Enc	6	0.72
53	CTL	9	0.858
54	CTL	8	0.981
55	CTL	9	0.926
56	Enc	6	1.211
57	Enc	8	0.0
58	Enc	9	2.531
59	Enc	5	0.754
60	Enc	6	0.731
61	Enc	9	0.794
62	CTL	8	0.0
63	Enc	6	0.871
64	Enc	9	1.311
65	CTL	5	0.0
66	CTL	5	1.166
67	Enc	6	0.811
68	CTL	8	0.965
69	CTL	9	0.656
70	Enc	8	0.83
71	Enc	9	1.341
72	CTL	8	1.125
73	Enc	8	0.0
74	Enc	9	2.027
75	CTL	9	1.766
76	CTL	6	0.663
77	Enc	5	0.685
78	Enc	8	0.977
79	Enc	5	0.775
80	CTL	6	0.0
81	Enc	6	0.922
82	CTL	6	0.0
83	CTL	9	0.758
84	Enc	5	0.834
85	Enc	6	0.874
86	Enc	8	0.0
87	CTL	5	1.301
88	CTL	8	1.125
89	CTL	9	0.681
90	CTL	6	0.851
91	Enc	5	1.471
92	CTL	5	2.189
93	Enc	5	2.354
94	CTL	5	0.862
95	Enc	5	0.822
96	Enc	9	0.614
97	Enc	9	0.611
98	Enc	5	0.592
99	Enc	8	0.0
100	CTL	8	0.0
101	Enc	6	0.0
102	Enc	6	0.994
103	CTL	8	1.178
104	CTL	6	1.075
105	Enc	5	0.785
106	CTL	5	0.679
107	Enc	6	0.0
108	Enc	8	0.488
109	Enc	9	0.956
110	Enc	8	0.804
111	Enc	9	0.0
112	CTL	8	0.904
113	CTL	9	0.78
114	Enc	6	0.704
115	Enc	5	0.596
116	Enc	6	0.0
