	stimOnsetSec	stimDurSec	fixOnsetSec	fixDurSec	ImageID	tNumXcond
0	11.569	3.0	14.568	5.5	False	CTL01
1	20.068	3.0	23.068	0.5	Old58	Enc01
2	23.568	3.0	26.567	1.0	Old09	Enc02
3	27.567	3.0	30.567	1.0	Old24	Enc03
4	31.567	3.0	34.567	1.5	Old72	Enc04
5	36.066	3.0	39.066	2.0	Old54	Enc05
6	41.066	3.0	44.066	3.0	Old40	Enc06
7	47.065	3.0	50.065	0.5	False	CTL02
8	50.565	3.0	53.565	4.0	False	CTL03
9	57.56399999999999	3.0	60.56399999999999	2.5	Old34	Enc07
10	63.06399999999999	3.0	66.064	1.5	False	CTL04
11	67.563	3.0	70.563	2.0	Old48	Enc08
12	72.563	3.0	75.563	3.5	Old26	Enc09
13	79.062	3.0	82.06200000000001	0.5	False	CTL05
14	82.56200000000001	3.0	85.56200000000001	2.5	Old39	Enc10
15	88.06200000000001	3.0	91.061	0.5	Old04	Enc11
16	91.561	3.0	94.561	1.0	Old14	Enc12
17	95.561	3.0	98.561	1.5	Old76	Enc13
18	100.06	3.0	103.06	2.5	Old25	Enc14
19	105.56	3.0	108.56	3.0	Old27	Enc15
20	111.559	3.0	114.559	1.0	Old32	Enc16
21	115.559	3.0	118.559	1.5	Old19	Enc17
22	120.059	3.0	123.058	1.5	False	CTL06
23	124.558	3.0	127.558	1.0	Old03	Enc18
24	128.558	3.0	131.557	2.5	Old52	Enc19
25	134.057	3.0	137.057	2.5	False	CTL07
26	139.557	3.0	142.556	0.5	Old67	Enc20
27	143.056	3.0	146.056	5.5	Old57	Enc21
28	151.556	3.0	154.555	5.5	Old75	Enc22
29	160.055	3.0	163.055	2.0	Old08	Enc23
30	165.054	3.0	168.054	1.0	Old05	Enc24
31	169.054	3.0	172.054	3.0	Old51	Enc25
32	175.053	3.0	178.053	3.5	Old59	Enc26
33	181.553	3.0	184.553	0.5	False	CTL08
34	185.052	3.0	188.052	1.5	False	CTL09
35	189.552	3.0	192.552	9.5	False	CTL10
36	202.051	3.0	205.051	2.0	False	CTL11
37	207.05	3.0	210.05	2.0	Old44	Enc27
38	212.05	3.0	215.05	1.0	False	CTL12
39	216.05	3.0	219.049	0.5	Old20	Enc28
40	219.549	3.0	222.549	0.5	False	CTL13
41	223.049	3.0	226.049	2.0	Old38	Enc29
42	228.048	3.0	231.048	4.5	Old65	Enc30
43	235.548	3.0	238.547	3.5	Old02	Enc31
44	242.047	3.0	245.047	8.0	Old73	Enc32
45	253.046	3.0	256.046	9.0	Old23	Enc33
46	265.045	3.0	268.045	0.5	Old16	Enc34
47	268.545	3.0	271.544	2.5	False	CTL14
48	274.044	3.0	277.044	8.5	Old74	Enc35
49	285.543	3.0	288.543	0.5	Old01	Enc36
50	289.043	3.0	292.042	5.5	Old10	Enc37
51	297.542	3.0	300.542	3.0	Old50	Enc38
52	303.541	3.0	306.541	4.0	False	CTL15
53	310.541	3.0	313.54	6.5	False	CTL16
54	320.04	3.0	323.04	0.5	Old56	Enc39
55	323.54	3.0	326.539	11.0	Old64	Enc40
56	338.038	3.0	341.038	9.5	Old66	Enc41
57	350.537	3.0	353.537	1.0	False	CTL17
58	354.537	3.0	357.536	5.5	Old55	Enc42
59	363.036	3.0	366.036	1.5	Old22	Enc43
60	367.535	3.0	370.535	1.0	Old30	Enc44
61	371.535	3.0	374.535	2.0	False	CTL18
62	376.535	3.0	379.534	3.5	Old17	Enc45
63	383.034	3.0	386.034	1.5	Old37	Enc46
64	387.534	3.0	390.533	0.5	False	CTL19
65	391.033	3.0	394.033	2.5	False	CTL20
66	396.533	3.0	399.532	0.5	False	CTL21
67	400.032	3.0	403.032	2.5	False	CTL22
68	405.532	3.0	408.532	2.0	False	CTL23
69	410.531	3.0	413.531	11.0	False	CTL24
70	424.53	3.0	427.53	1.0	Old33	Enc47
71	428.53	3.0	431.529	1.5	Old11	Enc48
72	433.029	3.0	436.029	0.5	Old42	Enc49
73	436.529	3.0	439.529	0.5	Old49	Enc50
74	440.029	3.0	443.028	2.0	Old06	Enc51
75	445.028	3.0	448.028	1.0	False	CTL25
76	449.028	3.0	452.028	2.0	False	CTL26
77	454.027	3.0	457.027	4.0	Old43	Enc52
78	461.027	3.0	464.026	4.5	Old60	Enc53
79	468.526	3.0	471.526	8.5	Old46	Enc54
80	480.025	3.0	483.025	1.0	Old63	Enc55
81	484.025	3.0	487.024	6.0	False	CTL27
82	493.024	3.0	496.023	1.5	Old31	Enc56
83	497.523	3.0	500.523	13.0	False	CTL28
84	513.5219999999999	3.0	516.5219999999999	1.5	Old53	Enc57
85	518.021	3.0	521.021	1.5	Old78	Enc58
86	522.521	3.0	525.521	7.5	Old62	Enc59
87	533.02	3.0	536.02	1.5	False	CTL29
88	537.52	3.0	540.519	3.5	Old61	Enc60
89	544.019	3.0	547.019	1.0	False	CTL30
90	548.019	3.0	551.018	1.5	Old12	Enc61
91	552.518	3.0	555.518	3.5	False	CTL31
92	559.018	3.0	562.0169999999999	4.5	Old36	Enc62
93	566.5169999999999	3.0	569.5169999999999	3.0	False	CTL32
94	572.516	3.0	575.516	0.5	Old70	Enc63
95	576.016	3.0	579.016	8.0	Old77	Enc64
96	587.015	3.0	590.015	5.0	False	CTL33
97	595.014	3.0	598.014	0.5	False	CTL34
98	598.514	3.0	601.514	1.0	Old68	Enc65
99	602.514	3.0	605.513	11.0	Old71	Enc66
100	617.012	3.0	620.012	2.5	False	CTL35
101	622.512	3.0	625.511	2.0	Old13	Enc67
102	627.511	3.0	630.511	0.5	Old07	Enc68
103	631.011	3.0	634.011	1.0	Old35	Enc69
104	635.01	3.0	638.01	1.0	Old45	Enc70
