	Condition	CorrectSource	Stim_RT
0	CTL	8	0.844
1	Enc	6	1.034
2	Enc	5	1.029
3	Enc	6	1.313
4	Enc	9	0.954
5	Enc	8	0.919
6	Enc	9	1.111
7	CTL	5	0.978
8	CTL	6	1.221
9	Enc	8	1.007
10	CTL	8	0.715
11	Enc	6	0.848
12	Enc	5	1.371
13	CTL	8	0.778
14	Enc	6	1.123
15	Enc	6	0.941
16	Enc	8	0.774
17	Enc	5	0.982
18	Enc	9	1.02
19	Enc	9	0.898
20	Enc	5	1.136
21	Enc	5	0.978
22	CTL	5	0.738
23	Enc	5	1.002
24	Enc	8	0.932
25	CTL	5	0.673
26	Enc	6	1.096
27	Enc	5	1.074
28	Enc	6	0.726
29	Enc	5	0.894
30	Enc	8	0.872
31	Enc	5	0.953
32	Enc	9	0.889
33	CTL	6	0.757
34	CTL	9	0.897
35	CTL	8	0.442
36	CTL	5	0.616
37	Enc	8	0.837
38	CTL	9	0.768
39	Enc	9	1.186
40	CTL	6	0.637
41	Enc	8	0.82
42	Enc	6	1.174
43	Enc	9	0.861
44	Enc	6	1.206
45	Enc	9	1.366
46	Enc	6	0.776
47	CTL	6	0.747
48	Enc	5	0.686
49	Enc	9	0.757
50	Enc	8	0.898
51	Enc	6	0.784
52	CTL	6	0.741
53	CTL	9	0.887
54	Enc	6	0.892
55	Enc	5	0.712
56	Enc	6	0.862
57	CTL	8	0.742
58	Enc	9	1.003
59	Enc	8	0.92
60	Enc	9	1.03
61	CTL	9	0.71
62	Enc	8	0.982
63	Enc	9	0.887
64	CTL	8	0.752
65	CTL	5	0.627
66	CTL	5	0.691
67	CTL	8	0.757
68	CTL	9	0.517
69	CTL	8	0.474
70	Enc	6	0.749
71	Enc	6	0.784
72	Enc	8	0.953
73	Enc	9	0.952
74	Enc	6	0.943
75	CTL	9	0.847
76	CTL	5	0.699
77	Enc	5	0.533
78	Enc	9	0.668
79	Enc	8	0.743
80	Enc	8	0.971
81	CTL	6	0.809
82	Enc	6	0.655
83	CTL	6	0.655
84	Enc	9	1.024
85	Enc	9	0.743
86	Enc	5	0.833
87	CTL	9	0.917
88	Enc	8	0.778
89	CTL	8	0.703
90	Enc	8	0.646
91	CTL	8	0.634
92	Enc	5	1.027
93	CTL	5	0.933
94	Enc	8	0.634
95	Enc	9	0.768
96	CTL	9	1.185
97	CTL	9	0.5
98	Enc	8	0.695
99	Enc	8	0.553
100	CTL	6	0.601
101	Enc	5	0.863
102	Enc	9	0.929
103	Enc	5	0.718
104	Enc	9	0.685
105	Enc	8	0.695
106	CTL	6	0.792
107	Enc	6	0.579
108	Enc	9	0.635
109	CTL	5	0.51
110	CTL	6	0.651
111	Enc	5	0.579
112	Enc	6	0.709
113	CTL	9	0.676
114	Enc	5	0.611
115	Enc	5	0.645
116	Enc	8	0.675
