	Condition	CorrectSource	Stim_RT
0	Enc	6	0.767
1	Enc	5	1.052
2	Enc	6	0.775
3	Enc	9	1.123
4	Enc	8	1.147
5	Enc	9	1.256
6	Enc	8	1.448
7	CTL	8	0.728
8	CTL	5	0.656
9	Enc	6	1.021
10	CTL	6	0.716
11	Enc	5	0.957
12	Enc	6	1.734
13	CTL	8	0.962
14	Enc	6	1.031
15	Enc	8	1.686
16	Enc	5	1.179
17	Enc	9	1.826
18	Enc	9	0.819
19	Enc	5	0.973
20	Enc	5	1.11
21	Enc	5	1.003
22	CTL	8	1.255
23	CTL	5	0.898
24	Enc	8	0.798
25	Enc	6	1.104
26	Enc	5	0.698
27	CTL	5	0.77
28	Enc	6	0.756
29	Enc	5	0.708
30	CTL	6	1.213
31	Enc	8	1.03
32	Enc	5	1.027
33	Enc	9	1.207
34	Enc	8	0.917
35	Enc	9	1.19
36	Enc	8	1.243
37	Enc	6	1.083
38	CTL	9	1.149
39	CTL	8	0.68
40	Enc	9	0.865
41	Enc	6	0.756
42	Enc	9	1.071
43	Enc	6	1.366
44	CTL	5	1.088
45	Enc	5	1.071
46	Enc	9	1.069
47	CTL	9	0.766
48	Enc	8	0.726
49	CTL	6	0.879
50	CTL	6	0.672
51	CTL	6	0.568
52	CTL	9	0.722
53	Enc	6	0.553
54	Enc	6	1.492
55	Enc	5	1.151
56	Enc	6	1.017
57	Enc	9	1.291
58	Enc	8	1.471
59	Enc	9	1.351
60	Enc	8	2.05
61	Enc	9	1.534
62	Enc	6	1.381
63	Enc	6	0.886
64	Enc	8	1.104
65	Enc	9	1.366
66	Enc	6	1.101
67	CTL	8	0.986
68	Enc	5	0.788
69	CTL	9	0.69
70	CTL	8	0.628
71	CTL	5	0.651
72	Enc	9	0.84
73	Enc	8	0.812
74	Enc	8	1.108
75	Enc	6	0.904
76	CTL	5	0.603
77	Enc	9	0.934
78	CTL	8	0.621
79	Enc	9	0.979
80	CTL	9	0.68
81	CTL	8	0.586
82	CTL	9	0.555
83	CTL	5	0.518
84	Enc	5	0.632
85	CTL	6	0.694
86	CTL	6	0.768
87	Enc	8	1.025
88	CTL	9	0.697
89	Enc	8	0.868
90	Enc	5	0.715
91	Enc	8	0.761
92	CTL	8	0.697
93	Enc	9	0.521
94	Enc	8	0.739
95	Enc	8	1.01
96	CTL	8	0.664
97	CTL	5	0.652
98	Enc	5	0.721
99	CTL	9	0.608
100	CTL	9	0.795
101	CTL	6	0.63
102	Enc	9	0.687
103	CTL	6	0.861
104	CTL	5	0.507
105	CTL	6	0.527
106	Enc	5	0.517
107	Enc	9	0.672
108	Enc	8	0.736
109	Enc	6	0.566
110	Enc	9	1.622
111	CTL	9	0.623
112	Enc	5	0.488
113	Enc	6	0.597
114	Enc	5	0.761
115	Enc	5	0.898
116	Enc	8	1.348
