	Condition	CorrectSource	Stim_RT
0	1	8	1.598
1	0	6	1.81
2	1	5	1.426
3	1	5	1.782
4	0	5	1.125
5	0	6	0.997
6	1	6	1.537
7	1	5	1.164
8	0	6	1.643
9	1	9	1.466
10	0	9	0.779
11	1	6	1.336
12	0	9	1.562
13	0	5	0.685
14	1	8	1.4
15	1	9	1.219
16	1	5	1.578
17	1	9	2.241
18	1	5	1.561
19	1	8	1.645
20	1	8	1.18
21	1	9	1.245
22	1	8	1.388
23	1	5	1.44
24	0	8	0.933
25	1	8	1.521
26	1	8	1.678
27	1	5	1.946
28	0	8	1.302
29	1	9	1.338
30	1	9	1.76
31	1	6	0.933
32	1	8	1.531
33	1	8	0.915
34	1	9	1.064
35	1	5	1.332
36	1	6	1.012
37	0	9	1.0
38	0	6	0.908
39	0	6	1.395
40	0	5	0.632
41	1	9	1.484
42	1	8	1.046
43	0	9	0.959
44	1	6	1.485
45	1	6	1.496
46	1	9	1.616
47	1	8	2.279
48	0	8	0.0
49	1	9	0.908
50	0	9	0.77
51	0	8	0.741
52	1	8	0.877
53	1	9	1.476
54	1	6	1.699
55	0	5	0.739
56	1	5	1.126
57	1	6	2.177
58	1	6	1.092
59	1	8	1.238
60	1	9	1.374
61	0	5	0.862
62	1	5	1.731
63	0	8	1.503
64	0	9	0.695
65	1	6	1.546
66	0	8	0.706
67	1	9	2.006
68	1	6	1.16
69	1	9	1.698
70	1	6	1.051
71	1	8	1.194
72	1	9	1.015
73	1	8	1.037
74	0	9	0.795
75	1	9	2.102
76	0	6	0.817
77	1	5	1.274
78	1	8	1.207
79	1	5	1.281
80	1	6	1.292
81	0	6	1.788
82	1	5	1.289
83	1	6	1.083
84	1	8	0.891
85	0	6	0.913
86	0	9	0.856
87	0	5	0.645
88	1	5	1.342
89	1	5	1.045
90	0	8	0.874
91	1	5	1.174
92	1	9	1.207
93	0	9	2.255
94	1	9	1.554
95	1	5	1.15
96	0	6	2.565
97	0	5	0.662
98	1	8	1.78
99	1	6	1.039
100	0	5	0.658
101	0	8	0.616
102	1	6	1.044
103	1	5	1.127
104	0	8	1.143
105	0	6	0.629
106	1	6	1.453
107	1	8	1.207
108	0	5	0.703
109	0	8	0.709
110	1	9	1.084
111	1	8	1.526
112	0	9	0.778
113	1	9	1.282
114	1	6	1.244
115	1	5	1.423
116	1	6	1.016
