ctl_miss_hit
control
hit
hit
hit
hit
hit
hit
control
control
control
control
hit
hit
control
hit
hit
missed
missed
hit
hit
hit
hit
hit
control
control
hit
hit
hit
missed
hit
control
missed
control
hit
hit
hit
hit
missed
hit
hit
missed
hit
control
missed
hit
control
missed
hit
hit
hit
hit
control
hit
control
control
control
hit
missed
missed
hit
missed
hit
control
hit
missed
control
control
hit
control
control
hit
missed
control
hit
hit
control
control
hit
hit
hit
control
hit
control
control
hit
missed
hit
control
control
control
control
missed
control
missed
control
hit
hit
missed
hit
hit
control
missed
hit
control
control
hit
control
hit
missed
hit
hit
hit
control
control
hit
hit
hit
