condition
CTL
Enc
Enc
Enc
Enc
Enc
Enc
CTL
CTL
CTL
CTL
Enc
Enc
CTL
Enc
Enc
Enc
Enc
Enc
Enc
Enc
Enc
Enc
CTL
CTL
Enc
Enc
Enc
Enc
Enc
CTL
Enc
CTL
Enc
Enc
Enc
Enc
Enc
Enc
Enc
Enc
Enc
CTL
Enc
Enc
CTL
Enc
Enc
Enc
Enc
Enc
CTL
Enc
CTL
CTL
CTL
Enc
Enc
Enc
Enc
Enc
Enc
CTL
Enc
Enc
CTL
CTL
Enc
CTL
CTL
Enc
Enc
CTL
Enc
Enc
CTL
CTL
Enc
Enc
Enc
CTL
Enc
CTL
CTL
Enc
Enc
Enc
CTL
CTL
CTL
CTL
Enc
CTL
Enc
CTL
Enc
Enc
Enc
Enc
Enc
CTL
Enc
Enc
CTL
CTL
Enc
CTL
Enc
Enc
Enc
Enc
Enc
CTL
CTL
Enc
Enc
Enc
